# platform=macos kernel=darwin host=jimin318lee.local sample_rate=48000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,replot_count,fg_wait_ms
35,480,0,0.0,0.134,0.013,0.121,0.002,0.000,0.119,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.600
36,480,0,0.0,0.154,0.022,0.132,0.003,0.000,0.129,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.614
37,480,0,0.0,0.130,0.013,0.117,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.611
38,480,0,0.0,0.117,0.009,0.108,0.001,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.651
39,480,0,0.0,0.112,0.008,0.104,0.002,0.000,0.102,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.031
40,480,0,0.0,0.116,0.008,0.108,0.002,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.195
41,480,0,0.0,0.130,0.015,0.115,0.002,0.000,0.113,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.608
42,480,0,0.0,0.127,0.015,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,17.188
43,480,0,0.0,0.091,0.015,0.076,0.002,0.000,0.073,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.233
44,480,0,0.0,0.042,0.011,0.031,0.002,0.000,0.029,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.500
45,480,0,0.0,0.115,0.013,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.441
46,480,0,0.0,0.128,0.015,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.069
47,480,0,0.0,0.139,0.014,0.125,0.002,0.000,0.123,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.073
48,480,0,0.0,0.120,0.009,0.111,0.002,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.132
49,480,0,0.0,0.120,0.010,0.110,0.001,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.110
50,480,0,0.0,0.122,0.009,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.143
51,480,0,0.0,0.119,0.007,0.112,0.001,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.709
52,480,0,0.0,0.120,0.011,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,15.834
53,480,0,0.0,0.109,0.006,0.103,0.002,0.000,0.101,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.872
54,480,0,0.0,0.111,0.008,0.103,0.002,0.000,0.101,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.958
55,480,0,0.0,0.123,0.011,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.981
56,480,0,0.0,0.043,0.013,0.030,0.002,0.000,0.028,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.421
57,480,0,0.0,0.081,0.013,0.068,0.002,0.000,0.066,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.566
58,480,0,0.0,0.115,0.010,0.105,0.002,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.556
59,480,0,0.0,0.112,0.008,0.104,0.002,0.000,0.102,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.202
60,480,0,0.0,0.116,0.011,0.105,0.002,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.103
61,480,0,0.0,0.124,0.011,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.157
62,480,0,0.0,0.125,0.012,0.113,0.001,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.456
63,480,0,0.0,0.109,0.007,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.515
64,480,0,0.0,0.107,0.007,0.100,0.002,0.000,0.098,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.891
65,480,0,0.0,0.118,0.011,0.107,0.002,0.000,0.105,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.927
66,480,0,0.0,0.117,0.009,0.108,0.002,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.967
67,480,0,0.0,0.119,0.015,0.104,0.002,0.000,0.102,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.483
68,480,0,0.0,0.074,0.007,0.067,0.002,0.000,0.065,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.564
69,480,0,0.0,0.043,0.007,0.036,0.002,0.000,0.034,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.231
70,480,0,0.0,0.111,0.012,0.099,0.002,0.000,0.097,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.569
71,480,0,0.0,0.127,0.014,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.599
72,480,0,0.0,0.125,0.012,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.628
73,480,0,0.0,0.112,0.011,0.101,0.001,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.193
74,480,0,0.0,0.122,0.010,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.315
75,480,0,0.0,0.136,0.023,0.113,0.001,0.000,0.112,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.772
76,480,0,0.0,0.125,0.014,0.111,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.845
77,480,0,0.0,0.131,0.019,0.112,0.001,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.252
78,480,0,0.0,0.174,0.044,0.130,0.002,0.000,0.127,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.251
79,480,0,0.0,0.143,0.024,0.119,0.002,0.000,0.117,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.584
80,480,0,0.0,0.119,0.010,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,15.639
81,480,0,0.0,0.041,0.011,0.030,0.002,0.000,0.028,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.723
82,480,0,0.0,0.081,0.016,0.065,0.002,0.000,0.063,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.620
83,480,0,0.0,0.130,0.012,0.118,0.006,0.000,0.112,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.646
84,480,0,0.0,0.127,0.015,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.721
85,480,0,0.0,0.126,0.016,0.110,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.577
86,480,0,0.0,0.144,0.018,0.126,0.002,0.000,0.124,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.629
87,480,0,0.0,0.122,0.012,0.110,0.001,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.444
88,480,0,0.0,0.176,0.044,0.132,0.002,0.000,0.130,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.451
89,480,0,0.0,0.161,0.024,0.137,0.002,0.000,0.135,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.384
90,480,0,0.0,0.147,0.024,0.123,0.001,0.000,0.122,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.839
91,480,0,0.0,0.135,0.017,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.213
92,480,0,0.0,0.163,0.019,0.144,0.002,0.000,0.142,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.266
93,480,0,0.0,0.112,0.020,0.092,0.002,0.000,0.090,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.406
94,480,0,0.0,0.043,0.011,0.032,0.002,0.000,0.030,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.486
95,480,0,0.0,0.115,0.012,0.103,0.002,0.000,0.101,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.507
96,480,0,0.0,0.125,0.013,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.985
97,480,0,0.0,0.120,0.012,0.108,0.002,0.000,0.105,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.077
98,480,0,0.0,0.121,0.012,0.109,0.001,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.993
99,480,0,0.0,0.114,0.009,0.105,0.001,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.852
100,480,0,0.0,0.169,0.015,0.154,0.013,0.000,0.141,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.714
101,480,0,0.0,0.125,0.016,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.079
102,480,0,0.0,0.115,0.013,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.943
103,480,0,0.0,0.124,0.006,0.118,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,15.983
104,480,0,0.0,0.109,0.009,0.100,0.002,0.000,0.098,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.654
105,480,0,0.0,0.115,0.007,0.108,0.002,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.610
106,480,0,0.0,0.044,0.009,0.035,0.002,0.000,0.033,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.732
107,480,0,0.0,0.074,0.012,0.062,0.002,0.000,0.060,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.524
108,480,0,0.0,0.112,0.015,0.097,0.002,0.000,0.094,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.581
109,480,0,0.0,0.110,0.009,0.101,0.002,0.000,0.099,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.008
110,480,0,0.0,0.118,0.013,0.105,0.002,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.515
111,480,0,0.0,0.126,0.016,0.110,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.605
112,480,0,0.0,0.122,0.015,0.107,0.002,0.000,0.105,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.050
113,480,0,0.0,0.181,0.053,0.128,0.001,0.000,0.127,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,18.536
114,480,0,0.0,0.121,0.009,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.710
115,480,0,0.0,0.139,0.009,0.130,0.002,0.000,0.128,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,16.120
116,480,0,0.0,0.130,0.012,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.244
117,480,0,0.0,0.132,0.014,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.967
118,480,0,0.0,0.088,0.012,0.076,0.002,0.000,0.074,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.093
119,480,0,0.0,0.039,0.009,0.030,0.001,0.000,0.028,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.879
120,480,0,0.0,0.131,0.012,0.119,0.002,0.000,0.117,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.995
121,480,0,0.0,0.123,0.010,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.107
122,480,0,0.0,0.130,0.012,0.118,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.225
123,480,0,0.0,0.127,0.010,0.117,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.319
124,480,0,0.0,0.125,0.013,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.505
125,480,0,0.0,0.117,0.009,0.108,0.002,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.615
126,480,0,0.0,0.114,0.009,0.105,0.001,0.000,0.104,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.720
127,480,0,0.0,0.125,0.012,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.995
128,480,0,0.0,0.122,0.010,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.092
129,480,0,0.0,0.116,0.018,0.098,0.001,0.000,0.097,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.502
130,480,0,0.0,0.123,0.010,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.423
131,480,0,0.0,0.039,0.008,0.031,0.002,0.000,0.029,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.514
132,480,0,0.0,0.074,0.010,0.064,0.002,0.000,0.062,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.860
133,480,0,0.0,0.114,0.010,0.104,0.001,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.959
134,480,0,0.0,0.113,0.007,0.106,0.002,0.000,0.104,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.083
135,480,0,0.0,0.112,0.010,0.102,0.001,0.000,0.101,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.759
136,480,0,0.0,0.130,0.012,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.295
137,480,0,0.0,0.119,0.010,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.463
138,480,0,0.0,0.122,0.008,0.114,0.002,0.000,0.112,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.237
139,480,0,0.0,0.119,0.010,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.351
140,480,0,0.0,0.114,0.010,0.104,0.002,0.000,0.102,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.304
141,480,0,0.0,0.118,0.012,0.106,0.002,0.000,0.104,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.408
142,480,0,0.0,0.115,0.011,0.104,0.002,0.000,0.102,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.883
143,480,0,0.0,0.082,0.007,0.075,0.002,0.000,0.073,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.914
144,480,0,0.0,0.047,0.013,0.034,0.002,0.000,0.032,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.008
145,480,0,0.0,0.120,0.014,0.106,0.002,0.000,0.104,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.297
146,480,0,0.0,0.120,0.011,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.858
147,480,0,0.0,0.123,0.011,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.126
148,480,0,0.0,0.128,0.012,0.116,0.002,0.000,0.114,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.948
149,480,0,0.0,0.109,0.007,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,16.009
150,480,0,0.0,0.118,0.006,0.112,0.001,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.131
151,480,0,0.0,0.124,0.014,0.110,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.608
152,480,0,0.0,0.125,0.012,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.715
153,480,0,0.0,0.125,0.013,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.583
154,480,0,0.0,0.121,0.009,0.112,0.002,0.000,0.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.703
155,480,0,0.0,0.120,0.011,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.870
156,480,0,0.0,0.048,0.011,0.037,0.002,0.000,0.035,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.582
157,480,0,0.0,0.078,0.008,0.070,0.002,0.000,0.068,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.637
158,480,0,0.0,0.126,0.016,0.110,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.883
159,480,0,0.0,0.139,0.013,0.126,0.002,0.000,0.124,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.713
160,480,0,0.0,0.109,0.007,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.878
161,480,0,0.0,0.134,0.016,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.477
162,480,0,0.0,0.121,0.011,0.110,0.002,0.000,0.108,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,16.376
163,480,0,0.0,0.125,0.011,0.114,0.002,0.000,0.112,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.502
164,480,0,0.0,0.122,0.011,0.111,0.002,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,14.189
165,480,0,0.0,0.122,0.011,0.111,0.002,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.356
166,480,0,0.0,0.132,0.013,0.119,0.002,0.000,0.117,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.850
167,480,0,0.0,0.120,0.009,0.111,0.002,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.006
168,480,0,0.0,0.087,0.016,0.071,0.002,0.000,0.069,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.865
169,480,0,0.0,0.052,0.017,0.035,0.002,0.000,0.033,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,12.235
170,480,0,0.0,0.116,0.014,0.102,0.002,0.000,0.100,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.277
171,480,0,0.0,0.115,0.009,0.106,0.002,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.998
172,480,0,0.0,0.132,0.014,0.118,0.002,0.000,0.116,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.731
173,480,0,0.0,0.122,0.008,0.114,0.002,0.000,0.112,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.890
174,480,0,0.0,0.167,0.021,0.146,0.002,0.000,0.143,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,18.346
175,480,0,0.0,0.153,0.021,0.132,0.002,0.000,0.130,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.493
176,480,0,0.0,0.284,0.061,0.223,0.002,0.000,0.220,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,36.056
177,480,0,0.0,0.610,0.236,0.374,0.002,0.000,0.372,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,26.542
178,480,0,0.0,0.157,0.028,0.129,0.002,0.000,0.127,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,17.129
179,480,0,0.0,0.126,0.011,0.115,0.002,0.000,0.113,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,7.303
180,480,0,0.0,0.126,0.012,0.114,0.001,0.000,0.113,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,15.196
181,480,0,0.0,0.041,0.011,0.030,0.002,0.000,0.028,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.385
182,480,0,0.0,0.085,0.014,0.071,0.002,0.000,0.069,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.040
183,480,0,0.0,0.122,0.011,0.111,0.002,0.000,0.109,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.161
184,480,0,0.0,0.123,0.015,0.108,0.002,0.000,0.106,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.258
185,480,0,0.0,0.116,0.014,0.102,0.002,0.000,0.099,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.958
186,480,0,0.0,0.117,0.010,0.107,0.002,0.000,0.105,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,2.097
187,480,0,0.0,0.125,0.012,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.542
188,480,0,0.0,0.124,0.011,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.689
189,480,0,0.0,0.113,0.008,0.105,0.001,0.000,0.104,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,8.141
190,480,0,0.0,0.111,0.008,0.103,0.002,0.000,0.101,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,15.144
