frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.0,1.1,6.3,3.3,91.6,1640.6,16214.9,87.5,2400.0,917510
200,28.5,2.3,7.4,6.3,99.0,1652.5,16214.9,89.2,2400.0,917510
300,27.8,1.5,5.8,3.7,99.4,1656.2,16214.9,89.2,2400.0,917510
400,27.8,0.5,6.5,4.5,99.2,1676.3,16214.9,88.7,2400.0,917510
500,27.7,1.6,6.2,3.5,99.5,1671.5,16214.9,88.7,2400.0,917510
600,27.9,1.1,6.2,4.9,99.2,1669.1,16214.9,90.3,2400.0,917510
700,27.5,0.8,5.5,3.9,99.5,1664.7,16214.9,89.8,2400.0,917510
800,28.1,1.7,6.8,4.3,99.4,1668.4,16214.9,88.7,2400.0,917510
900,27.7,1.6,4.9,4.1,99.2,1668.1,16214.9,90.3,2400.0,917510
1000,27.5,1.7,5.1,3.4,99.4,1661.4,16214.9,90.3,2400.0,917510
1100,27.4,1.7,4.5,3.9,99.4,1663.3,16214.9,89.8,2400.0,917510
