frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.7,3.1,4.0,10.8,88.1,2274.9,16214.9,84.8,2400.0,917510
200,29.7,2.9,2.9,14.0,98.8,2284.6,16214.9,85.4,2400.0,917510
300,29.0,2.1,2.1,12.7,99.2,2299.7,16214.9,84.3,2400.0,917510
400,28.8,2.7,0.8,11.3,99.2,2303.8,16214.9,87.0,2400.0,917510
500,29.0,3.0,2.1,12.2,99.6,2304.7,16214.9,87.0,2400.0,917510
600,28.9,3.7,1.7,10.7,99.0,2303.7,16214.9,86.5,2400.0,917510
700,29.0,3.1,1.5,12.3,99.2,2306.1,16214.9,86.5,2400.0,917510
800,28.7,1.4,1.8,10.5,99.3,2307.0,16214.9,86.5,2400.0,917510
900,28.7,1.4,1.7,11.8,99.3,2307.5,16214.9,87.0,2400.0,917510
1000,29.0,4.2,1.8,11.3,99.3,2308.9,16214.9,87.0,2400.0,917510
1100,28.9,2.5,2.2,11.1,99.4,2310.4,16214.9,86.5,2400.0,917510
1200,28.7,2.7,5.4,10.2,96.4,2307.8,16214.9,87.0,2400.0,917510
1300,28.7,3.8,99.0,10.7,1.0,2307.5,16214.9,86.5,2400.0,917510
1400,28.6,4.1,84.6,9.8,15.6,2308.2,16214.9,86.5,2400.0,917510
