# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,8.714,8.611,0.103,0.007,0.001,0.055,0.001,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.173,0.091,0.082,0.008,0.001,0.044,0.000,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.257,0.083,0.174,0.007,0.001,0.064,0.069,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.416,0.093,0.323,0.007,0.002,0.095,0.172,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.346,0.056,0.290,0.008,0.000,0.127,0.110,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.387,0.060,0.327,0.007,0.001,0.173,0.088,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.546,0.060,0.486,0.007,0.001,0.206,0.209,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.438,0.056,0.382,0.007,0.001,0.222,0.072,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.484,0.053,0.431,0.008,0.000,0.256,0.079,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.569,0.051,0.518,0.007,0.001,0.342,0.079,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.774,0.099,0.675,0.008,0.000,0.410,0.106,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,0.814,0.056,0.758,0.007,0.001,0.506,0.126,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,0.878,0.059,0.819,0.008,0.001,0.605,0.076,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.421,0.060,0.361,0.008,0.000,0.139,0.075,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,0.956,0.060,0.896,0.008,0.001,0.599,0.076,0.210,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,0.946,0.062,0.884,0.008,0.000,0.637,0.078,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,2.393,0.055,2.338,0.011,0.001,0.599,0.141,1.584,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,13.551,12.530,1.021,0.008,0.000,0.599,0.140,0.270,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,16.418,15.339,1.079,0.008,0.001,0.608,0.127,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
