# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.170,0.070,0.100,0.011,0.001,0.071,0.000,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.232,0.131,0.101,0.012,0.001,0.066,0.000,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.350,0.071,0.279,0.011,0.002,0.096,0.122,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.402,0.037,0.365,0.012,0.001,0.143,0.165,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.474,0.046,0.428,0.012,0.001,0.199,0.153,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.537,0.057,0.480,0.012,0.000,0.263,0.135,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.713,0.056,0.657,0.012,0.001,0.328,0.233,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.620,0.045,0.575,0.012,0.001,0.355,0.114,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.691,0.055,0.636,0.012,0.001,0.406,0.109,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.825,0.058,0.767,0.012,0.000,0.513,0.119,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.969,0.052,0.917,0.012,0.001,0.664,0.106,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.154,0.055,1.099,0.012,0.000,0.784,0.156,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.242,0.035,1.207,0.011,0.001,0.931,0.104,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,2.877,2.361,0.516,0.012,0.001,0.222,0.107,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.275,0.040,1.235,0.011,0.001,0.934,0.104,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.328,0.038,1.290,0.011,0.000,0.960,0.120,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.265,0.039,1.226,0.012,0.000,0.897,0.108,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.265,0.041,1.224,0.012,0.000,0.883,0.104,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.268,0.039,1.229,0.012,0.000,0.873,0.103,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.825,0.035,0.790,0.011,0.001,0.357,0.158,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,0.994,0.044,0.950,0.011,0.001,0.561,0.110,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.369,0.051,1.318,0.012,0.001,0.897,0.115,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.452,0.064,1.388,0.011,0.001,0.920,0.141,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,6.147,4.718,1.429,0.011,0.001,0.945,0.140,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,11.211,9.750,1.461,0.012,0.002,0.958,0.138,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,16.822,15.706,1.116,0.011,0.001,0.614,0.133,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,3840,0,0.1,21.873,19.808,2.065,0.023,0.000,1.388,0.266,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,9.606,8.185,1.421,0.012,0.000,0.878,0.114,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,16.294,14.954,1.340,0.011,0.000,0.793,0.111,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,3840,0,0.1,24.109,21.965,2.144,0.023,0.000,1.440,0.230,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,10.490,9.625,0.865,0.013,0.000,0.152,0.178,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,16.647,15.240,1.407,0.012,0.001,0.797,0.122,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,24.410,22.024,2.386,0.023,0.001,1.631,0.250,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,12.002,10.501,1.501,0.012,0.000,0.796,0.164,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,18.883,17.432,1.451,0.012,0.001,0.788,0.110,0.537,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,3840,0,0.1,24.599,22.918,1.681,0.024,0.001,0.880,0.222,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
