# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.156,0.063,0.093,0.010,0.001,0.065,0.000,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.149,0.045,0.104,0.011,0.001,0.068,0.000,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.371,0.091,0.280,0.012,0.002,0.105,0.098,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.395,0.049,0.346,0.011,0.001,0.144,0.149,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.582,0.074,0.508,0.013,0.001,0.196,0.234,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.519,0.044,0.475,0.011,0.001,0.251,0.127,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.694,0.045,0.649,0.012,0.001,0.320,0.233,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.620,0.045,0.575,0.012,0.001,0.358,0.112,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.694,0.045,0.649,0.012,0.000,0.419,0.111,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.830,0.045,0.785,0.012,0.000,0.536,0.114,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.960,0.044,0.916,0.012,0.001,0.654,0.106,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.137,0.047,1.090,0.012,0.001,0.766,0.166,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.221,0.043,1.178,0.012,0.001,0.898,0.108,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.545,0.048,0.497,0.012,0.001,0.202,0.110,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.215,0.047,1.168,0.012,0.001,0.864,0.107,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.230,0.046,1.184,0.012,0.000,0.863,0.110,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.193,0.045,1.148,0.012,0.000,0.814,0.110,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.221,0.059,1.162,0.012,0.001,0.814,0.104,0.230,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.260,0.071,1.189,0.011,0.001,0.832,0.105,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.832,0.062,0.770,0.012,0.000,0.333,0.170,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.421,0.480,0.941,0.012,0.000,0.531,0.126,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,3.434,2.166,1.268,0.012,0.000,0.851,0.110,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,6.232,4.955,1.277,0.011,0.001,0.842,0.114,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,12.659,11.298,1.361,0.012,0.001,0.862,0.118,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,3840,0,0.1,22.090,20.022,2.068,0.024,0.000,1.405,0.264,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,11.908,10.978,0.930,0.011,0.001,0.399,0.148,0.370,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,3840,0,0.1,22.115,19.758,2.357,0.023,0.000,1.705,0.242,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,13.404,12.053,1.351,0.012,0.000,0.818,0.116,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,3840,0,0.1,24.736,22.506,2.230,0.023,0.001,1.547,0.218,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,14.593,13.730,0.863,0.012,0.001,0.161,0.159,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,3840,0,0.1,24.960,22.582,2.378,0.024,0.000,1.674,0.212,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,15.450,13.990,1.460,0.011,0.001,0.828,0.126,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,26.813,24.330,2.483,0.024,0.000,1.664,0.288,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,16.425,15.476,0.949,0.012,0.001,0.193,0.153,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,3840,0,0.1,26.838,24.491,2.347,0.023,0.001,1.542,0.226,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,17.288,15.767,1.521,0.012,0.001,0.812,0.120,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,3840,0,0.1,27.862,25.289,2.573,0.023,0.001,1.730,0.232,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,17.739,16.613,1.126,0.012,0.000,0.355,0.125,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,3840,0,0.1,27.196,24.823,2.373,0.023,0.001,1.464,0.251,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
