frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,28.0,12.6,2.7,91.8,4.7,2311.0,16214.9,85.4,2400.0,917510
200,29.1,9.9,2.0,99.0,4.6,2314.3,16214.9,85.4,2400.0,917510
300,28.8,9.4,2.2,99.1,4.4,2325.8,16214.9,84.8,2400.0,917510
400,28.4,8.5,1.2,99.1,3.6,2357.7,16214.9,85.4,2400.0,917510
500,29.0,9.4,3.0,99.4,4.0,2359.3,16214.9,85.9,2400.0,917510
600,29.1,9.1,2.8,99.1,5.8,2365.3,16214.9,86.5,2400.0,917510
700,28.8,8.6,2.1,99.1,4.8,2363.5,16214.9,85.9,2400.0,917510
800,29.0,9.0,2.3,99.4,5.2,2364.2,16214.9,86.5,2400.0,917510
900,28.5,9.3,1.9,99.1,2.5,2363.5,16214.9,87.0,2400.0,917510
1000,28.6,9.6,1.8,99.1,3.8,2371.5,16214.9,86.5,2400.0,917510
1100,28.5,9.8,1.9,99.3,2.3,2369.7,16214.9,87.5,2400.0,917510
1200,28.8,9.4,1.5,99.1,4.7,2371.7,16214.9,85.9,2400.0,917510
