# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.167,0.066,0.101,0.011,0.001,0.071,0.001,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.140,0.043,0.097,0.012,0.001,0.065,0.000,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.317,0.066,0.251,0.011,0.002,0.094,0.100,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.390,0.045,0.345,0.012,0.000,0.139,0.152,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.486,0.041,0.445,0.012,0.000,0.199,0.178,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.524,0.041,0.483,0.011,0.001,0.270,0.130,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.688,0.045,0.643,0.012,0.001,0.324,0.226,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.614,0.041,0.573,0.012,0.001,0.353,0.112,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.676,0.047,0.629,0.012,0.001,0.397,0.111,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.811,0.066,0.745,0.012,0.001,0.495,0.117,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.929,0.043,0.886,0.012,0.000,0.634,0.105,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.138,0.046,1.092,0.012,0.000,0.771,0.164,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.247,0.039,1.208,0.012,0.000,0.933,0.103,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.546,0.044,0.502,0.011,0.000,0.207,0.109,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.264,0.050,1.214,0.012,0.000,0.914,0.103,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.344,0.041,1.303,0.012,0.001,0.975,0.113,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.329,0.044,1.285,0.012,0.001,0.944,0.116,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,0.932,0.035,0.897,0.008,0.001,0.629,0.079,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,0.936,0.036,0.900,0.008,0.000,0.628,0.080,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.624,0.034,0.590,0.008,0.001,0.256,0.127,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,0.735,0.034,0.701,0.008,0.001,0.405,0.081,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,0.983,0.033,0.950,0.009,0.000,0.642,0.078,0.220,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.449,0.073,1.376,0.012,0.002,0.947,0.118,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,3.892,2.403,1.489,0.012,0.001,1.020,0.125,0.330,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,7.229,5.734,1.495,0.012,0.001,1.001,0.137,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,10.929,9.798,1.131,0.011,0.001,0.645,0.129,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,15.415,14.453,0.962,0.012,0.001,0.447,0.140,0.360,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,20.521,19.078,1.443,0.013,0.001,0.935,0.111,0.380,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,2.847,1.503,1.344,0.012,0.001,0.858,0.117,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,8.565,7.205,1.360,0.012,0.001,0.790,0.152,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,16.149,14.880,1.269,0.012,0.000,0.716,0.119,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,3840,0,0.1,24.807,23.333,1.474,0.023,0.001,0.780,0.210,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,1920,0,0.1,12.751,11.343,1.408,0.011,0.001,0.811,0.120,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,3840,0,0.1,22.232,19.906,2.326,0.024,0.000,1.550,0.271,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,9.295,7.827,1.468,0.012,0.000,0.771,0.183,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,17.786,16.357,1.429,0.011,0.001,0.794,0.111,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,3840,0,0.1,24.527,22.888,1.639,0.023,0.001,0.858,0.212,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,12.900,11.503,1.397,0.012,0.001,0.712,0.122,0.548,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,19.634,18.208,1.426,0.012,0.001,0.709,0.132,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,1920,0,0.1,2.063,0.587,1.476,0.012,0.000,0.812,0.111,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,8.839,7.272,1.567,0.012,0.001,0.843,0.110,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,14.452,13.327,1.125,0.011,0.000,0.365,0.124,0.621,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,18.074,16.708,1.366,0.011,0.001,0.595,0.138,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,3840,0,0.1,23.775,20.962,2.813,0.024,0.000,1.933,0.218,0.637,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,9.212,7.490,1.722,0.012,0.000,0.914,0.130,0.663,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,16.315,14.575,1.740,0.012,0.000,0.926,0.122,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,3840,0,0.1,21.659,19.667,1.992,0.024,0.000,1.047,0.220,0.700,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,6.147,4.837,1.310,0.009,0.001,0.633,0.088,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,4.183,2.854,1.329,0.008,0.001,0.650,0.109,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,3.012,1.687,1.325,0.008,0.001,0.647,0.090,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,2.288,0.934,1.354,0.009,0.001,0.680,0.085,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,2.098,0.799,1.299,0.008,0.001,0.568,0.103,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,1920,0,0.1,0.846,0.051,0.795,0.009,0.001,0.144,0.083,0.557,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,1.846,0.079,1.767,0.012,0.001,0.840,0.114,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,8.402,6.692,1.710,0.011,0.001,0.784,0.108,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,15.127,12.801,2.326,0.012,0.000,0.722,0.118,1.471,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,3840,0,0.1,22.217,19.201,3.016,0.024,0.000,1.924,0.232,0.834,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,8.656,7.378,1.278,0.011,0.001,0.129,0.153,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
