frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.4,8.6,89.0,5.9,2.1,1645.9,16214.9,86.5,2400.0,917510
200,28.7,8.2,99.1,5.2,2.6,1646.3,16214.9,87.0,2400.0,917510
300,28.5,9.1,99.2,3.7,1.7,1656.9,16214.9,87.5,2400.0,917510
400,28.0,7.5,99.2,3.7,2.1,1656.8,16214.9,87.5,2400.0,917510
500,28.3,7.9,98.8,4.3,1.6,1662.1,16214.9,87.0,2400.0,917510
600,28.1,6.9,99.6,3.9,2.6,1656.4,16214.9,88.7,2400.0,917510
700,28.4,7.6,99.2,4.7,1.3,1656.4,16214.9,86.5,2400.0,917510
800,28.3,8.6,99.2,4.6,0.8,1656.2,16214.9,86.5,2400.0,917510
900,27.9,6.7,99.1,3.2,0.5,1651.6,16214.9,87.5,2400.0,917510
1000,28.1,6.8,99.6,5.2,1.1,1662.7,16214.9,88.7,2400.0,917510
