# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.167,0.067,0.100,0.011,0.001,0.071,0.000,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.155,0.053,0.102,0.012,0.001,0.065,0.000,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.324,0.060,0.264,0.012,0.001,0.099,0.115,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.393,0.042,0.351,0.012,0.000,0.144,0.153,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.454,0.037,0.417,0.012,0.000,0.198,0.151,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.513,0.046,0.467,0.012,0.001,0.264,0.124,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.701,0.044,0.657,0.011,0.000,0.326,0.238,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.616,0.041,0.575,0.011,0.000,0.357,0.110,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.696,0.059,0.637,0.012,0.001,0.408,0.108,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.803,0.041,0.762,0.011,0.001,0.515,0.116,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.951,0.043,0.908,0.011,0.001,0.651,0.109,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.140,0.041,1.099,0.012,0.001,0.781,0.161,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.244,0.039,1.205,0.012,0.001,0.933,0.102,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.556,0.041,0.515,0.012,0.000,0.219,0.110,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.265,0.040,1.225,0.012,0.001,0.910,0.118,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.327,0.040,1.287,0.011,0.001,0.959,0.112,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.272,0.045,1.227,0.011,0.001,0.896,0.108,0.210,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.267,0.038,1.229,0.012,0.001,0.877,0.115,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.292,0.041,1.251,0.011,0.001,0.885,0.114,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.819,0.038,0.781,0.012,0.000,0.356,0.164,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,0.984,0.041,0.943,0.012,0.000,0.560,0.108,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.362,0.061,1.301,0.012,0.001,0.888,0.114,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.482,0.079,1.403,0.012,0.002,0.951,0.128,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,5.956,4.518,1.438,0.012,0.000,0.974,0.127,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,11.388,9.917,1.471,0.012,0.001,0.981,0.141,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,16.755,15.661,1.094,0.011,0.001,0.610,0.132,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,3840,0,0.1,21.562,19.549,2.013,0.023,0.001,1.360,0.240,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,8.980,7.607,1.373,0.012,0.000,0.858,0.110,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,15.603,14.252,1.351,0.012,0.000,0.827,0.109,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,3840,0,0.1,23.345,21.230,2.115,0.024,0.001,1.402,0.234,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,10.640,9.742,0.898,0.011,0.001,0.158,0.177,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,16.627,15.214,1.413,0.012,0.001,0.825,0.117,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,24.163,21.825,2.338,0.023,0.002,1.589,0.248,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,11.570,10.098,1.472,0.013,0.000,0.791,0.166,0.500,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,18.272,16.838,1.434,0.012,0.001,0.797,0.111,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,3840,0,0.1,23.863,22.158,1.705,0.023,0.001,0.880,0.212,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,10.738,9.297,1.441,0.012,0.000,0.761,0.120,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,16.274,14.837,1.437,0.012,0.001,0.742,0.117,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,3840,0,0.1,21.856,19.335,2.521,0.024,0.000,1.688,0.226,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,1920,0,0.1,6.799,5.676,1.123,0.011,0.001,0.367,0.129,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,10.423,9.028,1.395,0.012,0.000,0.588,0.143,0.648,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,14.925,13.184,1.741,0.011,0.000,0.952,0.133,0.642,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,19.707,17.977,1.730,0.012,0.000,0.943,0.128,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,2.350,0.681,1.669,0.012,0.000,0.927,0.113,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,7.801,6.083,1.718,0.012,0.001,0.904,0.124,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,12.770,11.325,1.445,0.012,0.001,0.622,0.124,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,16.025,14.741,1.284,0.012,0.001,0.412,0.125,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,20.521,18.769,1.752,0.012,0.001,0.907,0.119,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,3.173,1.462,1.711,0.012,0.001,0.886,0.128,0.683,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,7.656,5.827,1.829,0.012,0.001,0.946,0.129,0.740,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,12.333,10.453,1.880,0.012,0.001,0.981,0.129,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,17.949,16.231,1.718,0.012,0.001,0.811,0.122,0.770,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,3840,0,0.1,21.966,19.828,2.138,0.023,0.000,1.049,0.262,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,7.879,6.114,1.765,0.011,0.000,0.835,0.108,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,14.696,13.005,1.691,0.012,0.001,0.746,0.115,0.815,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,3840,0,0.1,22.869,20.336,2.533,0.023,0.000,1.420,0.248,0.838,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,10.037,8.780,1.257,0.012,0.001,0.142,0.150,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,15.694,14.004,1.690,0.012,0.001,0.650,0.121,0.905,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,3840,0,0.1,22.938,20.317,2.621,0.043,0.001,1.458,0.223,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,10.081,8.301,1.780,0.012,0.001,0.741,0.114,0.910,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,1920,0,0.1,16.995,15.205,1.790,0.012,0.000,0.739,0.115,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
62,3840,0,0.1,24.435,22.348,2.087,0.023,0.001,0.783,0.283,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
63,1920,0,0.1,11.230,9.435,1.795,0.012,0.001,0.697,0.124,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
64,1920,0,0.1,18.167,16.352,1.815,0.012,0.001,0.697,0.127,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
65,3840,0,0.1,26.263,23.454,2.809,0.023,0.002,1.564,0.228,0.990,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
66,1920,0,0.1,14.684,13.011,1.673,0.012,0.000,0.528,0.121,1.011,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
67,3840,0,0.1,22.537,20.022,2.515,0.023,0.001,1.194,0.218,1.076,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
68,1920,0,0.1,10.438,8.386,2.052,0.012,0.001,0.868,0.115,1.054,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
