# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.325,0.187,0.138,0.012,0.001,0.086,0.001,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,14.459,14.292,0.167,0.014,0.001,0.078,0.000,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,4.256,3.906,0.350,0.012,0.002,0.104,0.134,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.405,0.044,0.361,0.011,0.000,0.140,0.167,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.454,0.045,0.409,0.012,0.000,0.200,0.143,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.537,0.049,0.488,0.012,0.000,0.270,0.130,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.704,0.042,0.662,0.012,0.000,0.326,0.243,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.612,0.042,0.570,0.012,0.000,0.353,0.111,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.666,0.040,0.626,0.012,0.000,0.406,0.102,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.789,0.045,0.744,0.012,0.000,0.495,0.119,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.937,0.048,0.889,0.012,0.000,0.634,0.110,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.132,0.039,1.093,0.012,0.000,0.775,0.160,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.259,0.045,1.214,0.012,0.000,0.925,0.118,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.545,0.044,0.501,0.011,0.000,0.210,0.107,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.270,0.049,1.221,0.011,0.001,0.918,0.106,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.347,0.049,1.298,0.011,0.001,0.979,0.110,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.309,0.044,1.265,0.012,0.000,0.931,0.111,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.297,0.044,1.253,0.011,0.001,0.910,0.106,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.358,0.058,1.300,0.011,0.001,0.903,0.141,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.840,0.043,0.797,0.011,0.000,0.367,0.169,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.026,0.061,0.965,0.012,0.001,0.579,0.109,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.426,0.064,1.362,0.011,0.001,0.953,0.110,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.571,0.152,1.419,0.013,0.001,0.964,0.120,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,5.369,3.925,1.444,0.013,0.002,0.998,0.115,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,9.734,8.215,1.519,0.012,0.001,1.022,0.135,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,14.393,13.239,1.154,0.014,0.001,0.655,0.127,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,3840,0,0.1,20.764,18.734,2.030,0.025,0.001,1.393,0.229,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,9.379,7.914,1.465,0.013,0.001,0.922,0.129,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,16.133,14.801,1.332,0.013,0.001,0.800,0.114,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,3840,0,0.1,23.882,21.809,2.073,0.024,0.001,1.390,0.219,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,10.390,9.417,0.973,0.013,0.003,0.157,0.196,0.600,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,18.242,16.866,1.376,0.013,0.001,0.788,0.120,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,26.146,23.806,2.340,0.024,0.001,1.557,0.262,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,14.304,12.844,1.460,0.015,0.001,0.780,0.175,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,3840,0,0.1,23.490,21.767,1.723,0.025,0.001,0.949,0.216,0.530,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,12.213,10.804,1.409,0.014,0.001,0.735,0.126,0.530,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,3840,0,0.1,21.473,19.197,2.276,0.025,0.001,1.446,0.230,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,9.346,7.835,1.511,0.012,0.000,0.801,0.115,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,15.698,14.096,1.602,0.016,0.002,0.894,0.107,0.580,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,3840,0,0.1,22.976,21.117,1.859,0.024,0.001,0.971,0.237,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,9.196,7.415,1.781,0.013,0.001,1.002,0.126,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,15.832,14.051,1.781,0.013,0.001,0.971,0.141,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,3840,0,0.1,22.346,19.562,2.784,0.024,0.004,1.873,0.220,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,9.542,8.091,1.451,0.013,0.001,0.627,0.128,0.678,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,14.125,12.762,1.363,0.013,0.004,0.431,0.130,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,19.768,17.985,1.783,0.015,0.001,0.906,0.113,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,2.393,0.686,1.707,0.012,0.002,0.885,0.126,0.680,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,7.991,6.188,1.803,0.013,0.001,0.934,0.114,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,14.463,12.550,1.913,0.014,0.001,0.974,0.133,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,3840,0,0.1,22.863,20.779,2.084,0.024,0.001,1.027,0.236,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,8.803,7.024,1.779,0.013,0.001,0.859,0.111,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,16.736,15.009,1.727,0.013,0.001,0.797,0.112,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,3840,0,0.1,24.993,22.536,2.457,0.024,0.001,1.357,0.239,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,13.557,11.955,1.602,0.014,0.001,0.626,0.123,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,3840,0,0.1,21.089,19.239,1.850,0.025,0.002,0.729,0.221,0.871,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,9.988,8.248,1.740,0.045,0.001,0.684,0.133,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,16.932,15.204,1.728,0.014,0.001,0.694,0.125,0.892,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,3840,0,0.1,24.026,21.483,2.543,0.025,0.000,1.378,0.215,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,1920,0,0.1,11.773,10.254,1.519,0.013,0.001,0.299,0.188,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,19.164,17.351,1.813,0.012,0.001,0.458,0.250,1.087,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,3840,0,0.1,27.602,25.081,2.521,0.025,0.001,1.288,0.227,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
62,1920,0,0.1,17.393,15.536,1.857,0.012,0.001,0.736,0.121,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
63,3840,0,0.1,25.364,22.794,2.570,0.026,0.002,1.289,0.239,1.012,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
