# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.114,0.050,0.064,0.008,0.000,0.044,0.000,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.120,0.047,0.073,0.008,0.001,0.044,0.001,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.188,0.035,0.153,0.007,0.000,0.061,0.058,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.379,0.067,0.312,0.026,0.001,0.093,0.150,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.330,0.042,0.288,0.007,0.001,0.118,0.123,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.340,0.037,0.303,0.007,0.001,0.149,0.096,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.484,0.036,0.448,0.008,0.000,0.202,0.175,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.434,0.039,0.395,0.008,0.001,0.233,0.082,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.475,0.032,0.443,0.008,0.000,0.282,0.078,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.581,0.032,0.549,0.008,0.001,0.371,0.084,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.650,0.037,0.613,0.008,0.000,0.426,0.079,0.100,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,0.751,0.037,0.714,0.007,0.001,0.478,0.118,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,0.796,0.035,0.761,0.008,0.000,0.556,0.074,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.385,0.038,0.347,0.008,0.000,0.127,0.076,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,0.776,0.036,0.740,0.007,0.001,0.511,0.075,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,0.807,0.040,0.767,0.007,0.001,0.524,0.081,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,0.821,0.035,0.786,0.008,0.001,0.531,0.082,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,0.838,0.038,0.800,0.008,0.001,0.533,0.084,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,2.376,1.547,0.829,0.008,0.001,0.541,0.103,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,3.530,2.813,0.717,0.009,0.000,0.228,0.204,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,5.942,5.194,0.748,0.009,0.001,0.350,0.105,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,11.708,10.848,0.860,0.008,0.000,0.502,0.095,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,18.318,17.470,0.848,0.008,0.000,0.512,0.095,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,3840,0,0.1,26.810,25.304,1.506,0.015,0.000,1.048,0.169,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,19.183,18.371,0.812,0.008,0.001,0.338,0.102,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
