frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.0,8.2,88.7,3.9,2.2,1625.8,16214.9,88.1,2400.0,917510
200,28.5,6.8,99.0,3.2,3.5,1633.3,16214.9,88.7,2400.0,917510
300,28.3,5.5,99.3,4.9,3.9,1638.9,16214.9,89.8,2400.0,917510
400,28.0,6.8,99.4,3.6,2.6,1651.3,16214.9,88.7,2400.0,917510
500,28.3,6.6,99.3,3.9,2.4,1649.6,16214.9,89.2,2400.0,917510
600,27.9,6.8,99.3,3.8,2.4,1648.7,16214.9,88.7,2400.0,917510
700,28.2,6.0,99.3,4.6,3.3,1645.7,16214.9,90.3,2400.0,917510
800,27.7,6.0,99.3,2.5,2.1,1643.9,16214.9,88.7,2400.0,917510
