frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.2,12.4,2.3,89.2,4.9,2295.7,16214.9,85.9,2400.0,917510
200,29.6,12.4,2.8,98.8,3.9,2301.5,16214.9,86.5,2400.0,917510
300,29.1,10.5,2.2,99.1,3.1,2293.4,16214.9,86.5,2400.0,917510
400,29.1,11.7,1.8,99.3,2.9,2307.1,16214.9,84.8,2400.0,917510
500,29.3,10.0,4.5,98.9,3.4,2307.4,16214.9,86.5,2400.0,917510
600,29.0,10.8,3.3,99.3,1.8,2311.9,16214.9,86.5,2400.0,917510
700,29.3,12.1,4.2,99.6,0.4,2317.6,16214.9,86.5,2400.0,917510
800,28.7,9.0,4.2,98.9,1.8,2328.0,16214.9,87.5,2400.0,917510
900,28.8,10.4,3.8,99.3,1.5,2326.1,16214.9,87.0,2400.0,917510
1000,28.9,10.3,4.4,99.3,2.2,2330.2,16214.9,87.0,2400.0,917510
1100,28.7,9.7,4.5,99.3,1.4,2331.6,16214.9,86.5,2400.0,917510
1200,28.5,9.0,3.5,99.1,1.3,2330.0,16214.9,87.0,2400.0,917510
1300,28.3,7.7,3.7,99.3,1.7,2328.0,16214.9,88.1,2400.0,917510
1400,28.4,8.7,3.8,99.1,1.9,2326.9,16214.9,87.0,2400.0,917510
