frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.2,88.8,7.8,6.0,1.3,1646.6,16214.9,87.0,2400.0,917510
200,28.2,99.2,7.6,4.1,2.8,1657.4,16214.9,87.5,2400.0,917510
300,28.2,99.1,6.0,2.6,3.5,1660.5,16214.9,86.5,2400.0,917510
400,28.0,99.3,7.4,1.5,3.8,1683.3,16214.9,88.7,2400.0,917510
500,28.7,99.1,8.9,1.8,5.8,1676.7,16214.9,88.1,2400.0,917510
600,28.1,99.2,6.6,2.0,4.9,1669.5,16214.9,88.7,2400.0,917510
700,28.0,99.2,6.3,1.3,4.7,1672.2,16214.9,86.5,2400.0,917510
800,27.7,99.6,5.9,0.8,3.9,1663.0,16214.9,88.7,2400.0,917510
900,28.4,99.1,7.0,2.8,5.6,1664.8,16214.9,87.0,2400.0,917510
1000,27.9,99.3,5.7,1.7,4.2,1695.0,16214.9,89.8,2400.0,917510
