frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.5,9.1,69.7,2.0,25.6,1629.1,16214.9,86.5,2400.0,917510
200,28.3,10.2,0.4,2.3,99.2,1637.6,16214.9,87.5,2400.0,917510
300,27.8,7.1,2.3,1.6,99.0,1651.7,16214.9,88.1,2400.0,917510
400,27.8,5.4,3.9,2.7,99.1,1655.0,16214.9,87.5,2400.0,917510
500,27.9,6.2,3.1,2.2,99.4,1651.9,16214.9,88.7,2400.0,917510
600,28.2,7.8,3.5,2.6,99.1,1650.3,16214.9,87.5,2400.0,917510
700,28.0,6.2,3.6,3.0,99.4,1650.1,16214.9,88.7,2400.0,917510
