frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.0,1.7,89.7,5.6,10.3,2313.6,16214.9,85.4,2400.0,917510
200,29.8,3.2,98.8,5.8,10.6,2315.3,16214.9,85.4,2400.0,917510
300,29.0,2.2,99.1,4.3,10.3,2315.5,16214.9,85.4,2400.0,917510
400,29.4,2.9,99.3,4.3,10.5,2315.9,16214.9,87.0,2400.0,917510
500,28.9,2.4,99.2,3.3,9.4,2316.1,16214.9,85.4,2400.0,917510
600,29.3,2.2,98.9,5.4,9.6,2317.7,16214.9,87.5,2400.0,917510
700,29.0,2.1,99.6,4.2,9.6,2319.0,16214.9,87.0,2400.0,917510
800,29.2,3.1,99.0,4.2,10.4,2320.0,16214.9,85.9,2400.0,917510
900,29.1,2.3,99.2,6.3,8.3,2320.5,16214.9,87.0,2400.0,917510
1000,29.2,2.7,99.2,5.4,9.3,2322.6,16214.9,85.9,2400.0,917510
1100,28.8,2.6,99.4,4.5,9.0,2323.6,16214.9,85.4,2400.0,917510
1200,28.9,1.8,99.1,5.3,8.4,2322.1,16214.9,87.0,2400.0,917510
1300,29.2,2.9,99.4,5.5,9.1,2320.5,16214.9,87.0,2400.0,917510
1400,29.0,2.7,99.3,6.0,8.7,2321.7,16214.9,87.0,2400.0,917510
