# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.210,0.099,0.111,0.011,0.001,0.079,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,14.338,14.174,0.164,0.014,0.001,0.075,0.001,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,2.979,2.574,0.405,0.013,0.002,0.112,0.182,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.395,0.048,0.347,0.011,0.000,0.145,0.148,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.439,0.045,0.394,0.011,0.001,0.193,0.135,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.516,0.047,0.469,0.011,0.001,0.251,0.137,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.627,0.048,0.579,0.012,0.001,0.321,0.165,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.694,0.075,0.619,0.012,0.001,0.375,0.126,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.689,0.044,0.645,0.012,0.000,0.419,0.107,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.816,0.046,0.770,0.012,0.000,0.527,0.109,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.965,0.053,0.912,0.012,0.000,0.654,0.110,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.271,0.050,1.221,0.012,0.000,0.767,0.294,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.245,0.046,1.199,0.011,0.001,0.910,0.118,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.546,0.052,0.494,0.012,0.001,0.203,0.107,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.201,0.044,1.157,0.012,0.000,0.853,0.105,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.229,0.048,1.181,0.012,0.000,0.862,0.109,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.209,0.049,1.160,0.012,0.000,0.827,0.108,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.273,0.074,1.199,0.012,0.001,0.815,0.114,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.281,0.058,1.223,0.012,0.000,0.815,0.141,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,1.195,0.058,1.137,0.012,0.000,0.338,0.527,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,2.593,1.588,1.005,0.015,0.001,0.539,0.169,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,5.439,4.111,1.328,0.013,0.002,0.875,0.124,0.310,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,9.101,7.781,1.320,0.012,0.001,0.852,0.124,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,16.357,14.994,1.363,0.014,0.001,0.882,0.122,0.340,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,3840,0,0.1,26.607,24.523,2.084,0.024,0.001,1.424,0.271,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,12.579,11.671,0.908,0.010,0.002,0.301,0.158,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,14.652,13.608,1.044,0.011,0.001,0.616,0.109,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,17.449,16.424,1.025,0.010,0.001,0.610,0.102,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,20.346,19.303,1.043,0.010,0.002,0.596,0.115,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,3840,0,0.1,22.545,20.805,1.740,0.018,0.001,1.086,0.275,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,5.667,4.727,0.940,0.010,0.001,0.124,0.168,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,8.007,6.915,1.092,0.011,0.002,0.600,0.116,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,1920,0,0.1,10.597,9.490,1.107,0.009,0.002,0.601,0.115,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,13.236,12.056,1.180,0.010,0.001,0.596,0.145,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,19.369,17.232,2.137,0.014,0.002,0.877,0.654,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,1.645,0.294,1.351,0.012,0.001,0.754,0.113,0.470,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,11.290,10.268,1.022,0.013,0.001,0.092,0.157,0.756,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,3840,0,0.1,22.549,20.138,2.411,0.026,0.001,1.606,0.223,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,13.717,12.176,1.541,0.013,0.001,0.821,0.116,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,3840,0,0.1,24.813,22.594,2.219,0.024,0.001,1.352,0.236,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,15.600,14.346,1.254,0.013,0.002,0.410,0.153,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,3840,0,0.1,25.726,23.702,2.024,0.025,0.001,1.077,0.220,0.698,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,16.901,15.168,1.733,0.013,0.002,0.931,0.118,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,3840,0,0.1,28.069,25.420,2.649,0.024,0.001,1.739,0.220,0.663,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,3840,0,0.1,21.921,20.010,1.911,0.024,0.000,0.931,0.222,0.729,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,13.105,11.311,1.794,0.015,0.002,0.864,0.128,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,3840,0,0.1,24.733,22.030,2.703,0.024,0.002,1.723,0.223,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,16.508,14.656,1.852,0.013,0.002,0.917,0.157,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,3840,0,0.1,28.755,26.657,2.098,0.024,0.001,0.964,0.232,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,19.428,17.602,1.826,0.013,0.000,0.876,0.116,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,1.972,0.294,1.678,0.012,0.001,0.802,0.100,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,13.403,11.581,1.822,0.013,0.001,0.860,0.112,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,3840,0,0.1,25.965,23.274,2.691,0.026,0.003,1.520,0.288,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,13.557,12.240,1.317,0.011,0.001,0.116,0.134,1.051,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,15.671,14.284,1.387,0.010,0.001,0.505,0.101,0.767,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,18.433,17.077,1.356,0.011,0.001,0.323,0.128,0.891,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
