# platform=macos kernel=darwin host=gyeongjinui-MacBookAir-3.local device=unknown git_commit=40af12c sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,noise_floor,ref_peak,noise_ratio,sync_lost,beat_missed
1,960,0,0.0,2.783,2.754,0.029,0.007,0.000,0.017,0.000,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.000006,0.000363,0.017748,0,0
2,2880,0,0.1,24.659,24.593,0.066,0.010,0.000,0.044,0.000,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.003864,0.064830,0.059609,0,0
3,960,0,0.0,2.380,2.347,0.033,0.004,0.000,0.017,0.000,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.003269,0.064404,0.050758,0,0
4,960,0,0.0,0.074,0.015,0.059,0.004,0.000,0.021,0.025,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.002082,0.063978,0.032546,0,0
5,960,0,0.0,0.110,0.030,0.080,0.004,0.000,0.025,0.031,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.001943,0.063555,0.030568,0,0
6,960,0,0.0,0.077,0.018,0.059,0.003,0.000,0.025,0.017,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.001552,0.063133,0.024581,0,0
7,960,0,0.0,0.106,0.037,0.069,0.003,0.006,0.028,0.012,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.001484,0.062715,0.023657,0,0
8,960,0,0.0,0.086,0.015,0.071,0.004,0.000,0.032,0.018,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.001051,0.062299,0.016867,0,0
9,960,0,0.0,0.089,0.018,0.071,0.003,0.000,0.036,0.012,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.000825,0.061887,0.013324,0,0
10,960,0,0.0,0.123,0.028,0.095,0.003,0.000,0.043,0.013,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.000742,0.061477,0.012074,0,0
11,960,0,0.0,0.111,0.021,0.090,0.004,0.000,0.047,0.012,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.000698,0.061071,0.011430,0,0
