frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.7,1.0,5.2,87.9,11.8,2338.3,16214.9,85.9,2400.0,917510
200,29.5,2.4,5.6,99.2,10.8,2318.9,16214.9,86.5,2400.0,917510
300,28.8,1.7,4.2,99.2,9.2,2323.2,16214.9,87.5,2400.0,917510
400,29.4,2.4,5.1,99.3,10.2,2330.8,16214.9,85.9,2400.0,917510
500,28.6,2.5,43.7,58.8,10.0,2330.0,16214.9,86.5,2400.0,917510
600,28.7,2.0,99.2,2.3,10.2,2330.1,16214.9,86.5,2400.0,917510
700,28.9,2.3,99.1,0.9,12.1,2330.0,16214.9,85.4,2400.0,917510
800,28.8,2.1,99.3,1.4,12.1,2328.8,16214.9,86.5,2400.0,917510
900,28.9,3.3,99.2,0.4,11.7,2326.3,16214.9,87.5,2400.0,917510
1000,28.8,3.0,99.3,1.7,12.2,2323.9,16214.9,86.5,2400.0,917510
1100,29.0,2.8,99.1,1.6,12.7,2323.1,16214.9,85.4,2400.0,917510
1200,28.8,2.2,99.4,1.9,11.6,2320.2,16214.9,86.5,2400.0,917510
1300,29.1,2.9,98.9,2.2,12.2,2317.2,16214.9,85.9,2400.0,917510
1400,28.9,2.7,99.3,1.7,11.9,2314.7,16214.9,87.5,2400.0,917510
