# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.288,0.158,0.130,0.013,0.000,0.078,0.001,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,12.395,12.236,0.159,0.013,0.002,0.077,0.001,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.320,0.067,0.253,0.012,0.000,0.105,0.083,0.050,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.410,0.045,0.365,0.012,0.000,0.141,0.169,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.436,0.041,0.395,0.011,0.001,0.184,0.144,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.345,0.033,0.312,0.008,0.001,0.164,0.087,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.480,0.036,0.444,0.019,0.001,0.211,0.150,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.443,0.041,0.402,0.008,0.000,0.245,0.078,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.548,0.039,0.509,0.008,0.001,0.318,0.089,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.582,0.035,0.547,0.008,0.001,0.369,0.079,0.090,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.383,0.031,0.352,0.008,0.000,0.162,0.078,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,0.766,0.039,0.727,0.012,0.001,0.269,0.296,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,0.635,0.044,0.591,0.012,0.000,0.314,0.106,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.441,0.046,0.395,0.012,0.001,0.104,0.108,0.170,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,0.893,0.056,0.837,0.012,0.001,0.530,0.109,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,0.887,0.056,0.831,0.012,0.001,0.499,0.112,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,0.881,0.083,0.798,0.012,0.001,0.410,0.139,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,3.098,2.277,0.821,0.013,0.001,0.271,0.164,0.370,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,14.755,14.052,0.703,0.013,0.001,0.127,0.162,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,3840,0,0.1,25.219,23.530,1.689,0.025,0.001,0.640,0.726,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,16.022,15.246,0.776,0.010,0.002,0.120,0.156,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
