frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.3,6.2,91.6,1.5,8.9,2308.0,16214.9,88.1,2400.0,917510
200,29.1,6.4,99.0,1.8,8.0,2307.3,16214.9,87.5,2400.0,917510
300,29.0,10.1,99.2,3.9,2.8,2302.8,16214.9,86.5,2400.0,917510
400,29.7,10.0,99.1,4.2,5.7,2302.9,16214.9,88.1,2400.0,917510
500,29.4,9.6,99.1,5.2,3.1,2303.3,16214.9,88.7,2400.0,917510
600,28.6,9.1,99.4,3.6,2.1,2305.6,16214.9,88.1,2400.0,917510
700,28.7,9.9,99.1,4.3,1.2,2306.7,16214.9,87.5,2400.0,917510
800,28.7,8.3,99.1,4.0,1.8,2307.4,16214.9,88.1,2400.0,917510
900,28.2,8.2,99.1,3.5,1.6,2308.7,16214.9,88.1,2400.0,917510
1000,28.5,6.9,99.1,5.6,2.4,2307.6,16214.9,88.1,2400.0,917510
1100,28.4,8.5,99.4,4.5,0.6,2306.0,16214.9,87.5,2400.0,917510
1200,28.0,8.0,99.1,3.0,1.2,2306.2,16214.9,87.0,2400.0,917510
