frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.0,95.3,4.9,6.5,2.6,1656.3,16214.9,88.7,2400.0,917510
200,27.7,99.2,3.0,5.5,2.6,1671.0,16214.9,87.5,2400.0,917510
300,27.6,99.4,1.0,4.8,4.8,1679.0,16214.9,89.8,2400.0,917510
400,27.7,99.6,1.9,5.1,4.8,1666.7,16214.9,90.3,2400.0,917510
500,27.4,99.1,1.7,4.8,3.4,1662.5,16214.9,89.2,2400.0,917510
600,27.4,99.4,1.3,5.4,3.1,1657.9,16214.9,89.2,2400.0,917510
700,27.5,99.6,1.1,4.8,4.4,1655.2,16214.9,89.8,2400.0,917510
800,27.2,99.3,0.9,4.2,3.0,1656.5,16214.9,89.2,2400.0,917510
