frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,25.6,12.6,3.1,78.9,7.5,2273.8,16214.9,78.8,2400.0,917504
200,31.5,17.2,0.0,98.5,9.3,2271.5,16214.9,79.9,2400.0,917504
300,30.4,16.9,0.0,99.0,6.3,2286.1,16214.9,82.0,2400.0,917512
400,30.9,15.9,1.0,98.4,7.5,2297.8,16214.9,82.6,2400.0,917512
500,30.0,15.1,0.5,99.0,5.5,2300.5,16214.9,83.2,2400.0,917512
600,30.5,15.2,0.0,99.0,7.1,2307.5,16214.9,83.7,2400.0,917512
700,29.7,12.6,0.0,98.5,5.9,2306.1,16214.9,82.6,2400.0,917512
800,30.1,18.0,0.9,99.1,2.8,2304.5,16214.9,83.7,2400.0,917512
900,30.0,17.2,0.0,99.0,2.0,2306.4,16214.9,84.3,2400.0,917512
1000,29.9,16.5,1.8,99.1,2.6,2306.4,16214.9,84.3,2400.0,917510
1100,29.6,16.0,0.5,99.1,1.9,2308.0,16214.9,84.8,2400.0,917512
