# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.326,0.195,0.131,0.012,0.001,0.082,0.001,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,15.090,14.933,0.157,0.013,0.001,0.071,0.001,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,1.657,1.417,0.240,0.012,0.001,0.094,0.089,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.416,0.044,0.372,0.012,0.000,0.142,0.174,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.477,0.057,0.420,0.012,0.001,0.202,0.149,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.509,0.046,0.463,0.011,0.000,0.270,0.113,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.707,0.046,0.661,0.012,0.001,0.326,0.241,0.080,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.617,0.044,0.573,0.012,0.001,0.356,0.112,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.671,0.043,0.628,0.012,0.001,0.401,0.109,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.790,0.046,0.744,0.012,0.001,0.500,0.112,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.930,0.039,0.891,0.012,0.000,0.640,0.100,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.180,0.068,1.112,0.012,0.001,0.793,0.160,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.254,0.040,1.214,0.012,0.000,0.939,0.103,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.539,0.038,0.501,0.012,0.000,0.211,0.104,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.263,0.037,1.226,0.011,0.001,0.927,0.104,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.356,0.042,1.314,0.011,0.000,0.997,0.107,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.324,0.043,1.281,0.011,0.000,0.931,0.107,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.281,0.042,1.239,0.012,0.000,0.899,0.103,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.308,0.059,1.249,0.011,0.001,0.895,0.103,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.832,0.047,0.785,0.012,0.001,0.364,0.159,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.019,0.040,0.979,0.012,0.000,0.576,0.121,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.383,0.057,1.326,0.012,0.001,0.916,0.111,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.435,0.056,1.379,0.011,0.001,0.942,0.123,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,3.860,2.384,1.476,0.013,0.000,0.995,0.142,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,7.887,6.389,1.498,0.013,0.001,1.009,0.131,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,12.341,11.195,1.146,0.012,0.001,0.651,0.124,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,16.154,15.154,1.000,0.013,0.001,0.459,0.136,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,3840,0,0.1,23.160,20.698,2.462,0.024,0.002,1.793,0.230,0.410,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,10.354,9.022,1.332,0.013,0.000,0.798,0.110,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,17.099,15.825,1.274,0.015,0.001,0.727,0.115,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,3840,0,0.1,24.977,23.476,1.501,0.025,0.001,0.802,0.216,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,12.113,10.705,1.408,0.014,0.002,0.792,0.118,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,1920,0,0.1,19.022,17.616,1.406,0.013,0.002,0.802,0.117,0.470,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,3840,0,0.1,26.294,23.908,2.386,0.025,0.001,1.563,0.298,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,14.736,13.296,1.440,0.013,0.001,0.800,0.113,0.510,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,20.145,19.074,1.071,0.013,0.002,0.200,0.180,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,2.429,1.082,1.347,0.012,0.000,0.681,0.121,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,8.807,7.395,1.412,0.013,0.001,0.732,0.120,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,14.717,13.293,1.424,0.014,0.001,0.722,0.127,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,1920,0,0.1,20.083,18.577,1.506,0.013,0.001,0.815,0.115,0.559,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,2.565,1.027,1.538,0.011,0.001,0.867,0.105,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,7.322,6.076,1.246,0.013,0.001,0.419,0.137,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,11.671,10.261,1.410,0.014,0.001,0.608,0.143,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,16.895,15.067,1.828,0.012,0.001,0.996,0.183,0.631,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,3840,0,0.1,23.386,20.542,2.844,0.025,0.002,1.951,0.216,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,10.286,8.538,1.748,0.013,0.002,0.934,0.124,0.672,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,15.758,14.301,1.457,0.013,0.000,0.637,0.126,0.678,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,19.665,18.326,1.339,0.013,0.001,0.428,0.125,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,2.292,0.565,1.727,0.012,0.000,0.902,0.138,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,7.155,5.328,1.827,0.013,0.002,0.917,0.166,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,12.135,10.270,1.865,0.012,0.002,0.948,0.162,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,17.497,15.562,1.935,0.014,0.002,1.028,0.135,0.754,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,3840,0,0.1,23.746,21.658,2.088,0.025,0.001,1.045,0.223,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,9.258,7.470,1.788,0.012,0.000,0.870,0.114,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,14.752,13.014,1.738,0.013,0.001,0.809,0.111,0.800,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,3840,0,0.1,22.246,19.755,2.491,0.024,0.001,1.391,0.244,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,9.850,8.223,1.627,0.013,0.001,0.656,0.120,0.834,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,15.999,14.571,1.428,0.014,0.001,0.143,0.166,1.101,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,3840,0,0.1,22.192,19.733,2.459,0.025,0.001,1.316,0.231,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,9.614,7.885,1.729,0.013,0.001,0.703,0.119,0.890,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,1920,0,0.1,15.830,14.060,1.770,0.013,0.002,0.705,0.115,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
62,3840,0,0.1,23.171,20.981,2.190,0.026,0.002,0.966,0.241,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
63,1920,0,0.1,9.479,7.832,1.647,0.013,0.001,0.467,0.205,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
