frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,25.9,87.9,7.7,1.4,5.9,1598.2,16214.9,87.5,2400.0,917510
200,29.0,98.8,10.0,2.4,4.5,1619.0,16214.9,87.0,2400.0,917510
300,28.5,99.2,8.7,3.3,2.4,1618.0,16214.9,86.5,2400.0,917510
400,28.2,99.2,6.8,3.9,2.5,1619.2,16214.9,88.1,2400.0,917510
500,28.5,99.6,7.3,0.9,6.0,1633.5,16214.9,87.0,2400.0,917510
600,28.2,99.3,6.2,2.4,4.8,1626.7,16214.9,87.0,2400.0,917510
700,28.7,99.1,7.0,3.0,5.7,1627.8,16214.9,88.1,2400.0,917510
800,28.1,99.3,6.7,0.7,4.9,1620.6,16214.9,87.5,2400.0,917510
900,27.8,99.2,7.1,0.8,3.4,1614.4,16214.9,87.5,2400.0,917510
1000,28.5,99.3,7.6,2.1,5.6,1613.3,16214.9,88.1,2400.0,917510
1100,28.4,99.4,5.8,3.6,5.2,1616.5,16214.9,88.1,2400.0,917510
1200,28.1,99.1,6.0,1.8,4.5,1610.9,16214.9,89.2,2400.0,917510
1300,27.9,99.3,5.1,1.8,5.0,1606.1,16214.9,88.7,2400.0,917510
1400,27.9,99.3,7.2,2.1,3.2,1603.9,16214.9,88.7,2400.0,917510
