frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,25.6,30.5,4.6,4.2,62.5,1631.7,16214.9,89.2,2400.0,917510
200,28.5,1.9,3.8,8.1,99.2,1635.6,16214.9,89.8,2400.0,917510
300,28.0,1.8,3.5,7.1,99.3,1641.6,16214.9,89.8,2400.0,917510
400,28.1,1.7,4.1,7.1,99.0,1653.9,16214.9,90.3,2400.0,917510
500,27.7,1.8,2.5,5.7,99.3,1650.9,16214.9,90.9,2400.0,917510
600,27.5,1.4,2.7,6.5,99.3,1648.5,16214.9,90.9,2400.0,917510
700,27.8,2.5,3.5,5.7,99.4,1651.5,16214.9,89.8,2400.0,917510
800,27.6,2.0,2.7,5.7,99.3,1653.7,16214.9,90.3,2400.0,917510
