frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.2,13.0,84.5,2.1,5.3,2271.6,16214.9,83.7,2400.0,917512
200,30.2,13.5,98.7,2.6,6.9,2277.9,16214.9,84.8,2400.0,917510
300,31.1,12.5,99.1,6.8,4.1,2286.9,16214.9,84.8,2400.0,917512
400,29.5,10.3,99.2,2.1,6.5,2290.9,16214.9,85.4,2400.0,917510
500,29.6,4.9,99.2,9.9,4.8,2295.9,16214.9,83.7,2400.0,917512
600,29.3,1.3,99.1,12.4,3.1,2293.3,16214.9,85.9,2400.0,917510
700,29.6,9.8,99.2,4.7,5.5,2299.9,16214.9,85.4,2400.0,917510
800,29.0,9.4,99.2,1.6,4.9,2298.1,16214.9,85.4,2400.0,917510
900,29.5,10.7,99.2,4.1,5.4,2300.7,16214.9,84.8,2400.0,917510
1000,28.8,8.8,99.0,2.4,3.8,2299.2,16214.9,84.8,2400.0,917510
1100,28.8,8.8,99.2,2.3,4.5,2301.0,16214.9,84.8,2400.0,917510
1200,29.0,9.6,99.3,3.1,4.1,2299.7,16214.9,85.4,2400.0,917510
1300,28.8,8.8,99.0,2.3,3.4,2298.8,16214.9,84.8,2400.0,917510
1400,29.0,9.6,99.3,2.2,5.1,2299.8,16214.9,85.4,2400.0,917510
1500,28.5,7.5,99.3,1.7,4.4,2297.1,16214.9,84.3,2400.0,917512
