frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.9,1.3,10.8,88.9,5.0,2305.3,16214.9,84.8,2400.0,917510
200,29.5,2.0,12.1,99.2,4.3,2302.0,16214.9,85.9,2400.0,917510
300,29.0,0.8,47.6,58.1,8.9,2304.8,16214.9,85.9,2400.0,917510
400,28.9,1.5,99.3,0.8,12.6,2317.3,16214.9,86.5,2400.0,917510
500,28.6,1.7,99.1,0.8,12.4,2319.3,16214.9,85.9,2400.0,917510
600,29.4,4.2,99.2,2.3,13.2,2318.7,16214.9,85.9,2400.0,917510
700,28.7,1.8,42.5,57.5,12.4,2318.3,16214.9,86.5,2400.0,917510
800,28.9,3.8,1.4,99.0,11.7,2318.7,16214.9,84.8,2400.0,917510
900,29.1,1.7,2.9,99.2,12.4,2319.0,16214.9,86.5,2400.0,917510
1000,28.6,2.0,1.4,99.0,10.8,2318.8,16214.9,86.5,2400.0,917510
1100,28.6,2.7,1.3,99.3,11.6,2318.6,16214.9,86.5,2400.0,917510
1200,28.7,2.1,1.8,99.1,11.2,2317.7,16214.9,86.5,2400.0,917510
1300,28.7,2.7,1.0,99.3,11.1,2318.4,16214.9,84.8,2400.0,917510
1400,28.3,2.5,1.8,99.3,9.5,2310.3,16214.9,86.5,2400.0,917510
