# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.155,0.053,0.102,0.011,0.001,0.073,0.000,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.162,0.057,0.105,0.012,0.001,0.065,0.001,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,1.402,1.159,0.243,0.012,0.001,0.095,0.097,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.389,0.041,0.348,0.012,0.000,0.140,0.155,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.542,0.058,0.484,0.012,0.002,0.201,0.207,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.509,0.033,0.476,0.011,0.001,0.269,0.124,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.683,0.041,0.642,0.012,0.000,0.324,0.226,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.610,0.040,0.570,0.011,0.001,0.353,0.110,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.661,0.034,0.627,0.012,0.000,0.399,0.109,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.776,0.036,0.740,0.012,0.001,0.495,0.112,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.928,0.035,0.893,0.012,0.001,0.643,0.105,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.211,0.051,1.160,0.012,0.001,0.776,0.223,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.241,0.038,1.203,0.012,0.000,0.928,0.103,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.539,0.038,0.501,0.012,0.000,0.210,0.106,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.262,0.045,1.217,0.012,0.000,0.918,0.101,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.351,0.040,1.311,0.012,0.001,0.989,0.110,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.309,0.043,1.266,0.012,0.001,0.929,0.113,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.292,0.041,1.251,0.012,0.000,0.900,0.110,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.305,0.042,1.263,0.012,0.001,0.901,0.111,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.842,0.039,0.803,0.012,0.001,0.367,0.160,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.004,0.043,0.961,0.011,0.001,0.578,0.107,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.408,0.049,1.359,0.011,0.001,0.921,0.124,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,2.339,0.932,1.407,0.011,0.001,0.957,0.122,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,5.454,3.982,1.472,0.012,0.000,0.990,0.120,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,8.812,7.323,1.489,0.012,0.001,1.006,0.132,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,12.448,11.334,1.114,0.012,0.000,0.637,0.122,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,17.513,16.553,0.960,0.012,0.001,0.451,0.138,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,3840,0,0.1,23.600,21.177,2.423,0.024,0.001,1.791,0.226,0.380,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,10.114,8.797,1.317,0.012,0.001,0.792,0.109,0.400,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,16.159,14.885,1.274,0.011,0.000,0.711,0.142,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,3840,0,0.1,23.315,21.854,1.461,0.023,0.001,0.779,0.206,0.450,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,11.235,9.867,1.368,0.011,0.001,0.792,0.110,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,1920,0,0.1,17.293,15.916,1.377,0.012,0.001,0.783,0.111,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,3840,0,0.1,23.637,21.292,2.345,0.024,0.000,1.533,0.296,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,11.338,9.898,1.440,0.012,0.000,0.807,0.112,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,17.406,16.465,0.941,0.011,0.001,0.183,0.142,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,3840,0,0.1,25.037,22.799,2.238,0.023,0.000,1.413,0.223,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,12.566,11.145,1.421,0.011,0.001,0.710,0.120,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,18.826,17.300,1.526,0.012,0.000,0.787,0.115,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,3840,0,0.1,24.657,22.567,2.090,0.024,0.001,1.222,0.212,0.629,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,10.122,8.748,1.374,0.012,0.000,0.599,0.140,0.620,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,14.690,12.928,1.762,0.012,0.000,0.988,0.120,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,19.491,17.727,1.764,0.012,0.001,0.962,0.125,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,2.123,0.434,1.689,0.012,0.001,0.939,0.118,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,7.679,5.942,1.737,0.012,0.001,0.924,0.127,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,12.524,11.093,1.431,0.011,0.001,0.618,0.112,0.687,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,15.644,14.395,1.249,0.012,0.001,0.413,0.123,0.698,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,20.060,18.314,1.746,0.012,0.001,0.897,0.116,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,2.754,1.008,1.746,0.013,0.001,0.914,0.131,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,7.154,5.311,1.843,0.012,0.000,0.922,0.127,0.780,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,12.281,10.409,1.872,0.013,0.000,0.975,0.140,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,18.672,16.937,1.735,0.012,0.001,0.839,0.114,0.768,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,3840,0,0.1,22.426,20.313,2.113,0.023,0.001,1.038,0.219,0.829,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,10.007,8.286,1.721,0.012,0.001,0.789,0.109,0.809,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,16.137,14.498,1.639,0.012,0.001,0.694,0.118,0.812,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,3840,0,0.1,22.649,20.249,2.400,0.024,0.000,1.239,0.276,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,9.024,7.762,1.262,0.012,0.001,0.131,0.147,0.970,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,13.728,12.097,1.631,0.011,0.001,0.624,0.129,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,3840,0,0.1,21.743,19.225,2.518,0.024,0.000,1.341,0.226,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
