# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.295,0.168,0.127,0.013,0.001,0.077,0.000,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,11.123,10.964,0.159,0.012,0.001,0.077,0.000,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.317,0.076,0.241,0.012,0.001,0.095,0.089,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.405,0.049,0.356,0.012,0.001,0.139,0.163,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.440,0.039,0.401,0.012,0.000,0.198,0.136,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.516,0.041,0.475,0.011,0.001,0.270,0.123,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.630,0.044,0.586,0.012,0.000,0.326,0.168,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.624,0.042,0.582,0.012,0.000,0.354,0.121,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.672,0.036,0.636,0.012,0.000,0.400,0.104,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.795,0.059,0.736,0.012,0.001,0.496,0.107,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.924,0.044,0.880,0.011,0.001,0.635,0.099,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.264,0.037,1.227,0.012,0.000,0.774,0.296,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.255,0.039,1.216,0.012,0.001,0.942,0.103,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.543,0.042,0.501,0.012,0.001,0.208,0.109,0.170,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.254,0.039,1.215,0.012,0.000,0.915,0.103,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.349,0.038,1.311,0.012,0.001,0.975,0.126,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.304,0.044,1.260,0.012,0.000,0.929,0.109,0.210,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.292,0.042,1.250,0.012,0.001,0.910,0.103,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.312,0.059,1.253,0.012,0.000,0.900,0.104,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,1.126,0.053,1.073,0.012,0.001,0.366,0.444,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.119,0.066,1.053,0.012,0.001,0.597,0.175,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.456,0.063,1.393,0.012,0.001,0.923,0.138,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.576,0.135,1.441,0.012,0.001,0.970,0.147,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,5.312,3.818,1.494,0.013,0.002,1.001,0.147,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,9.446,7.891,1.555,0.013,0.001,1.049,0.148,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,14.856,13.694,1.162,0.016,0.002,0.661,0.141,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,20.049,18.965,1.084,0.012,0.002,0.466,0.142,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,2.353,0.934,1.419,0.013,0.000,0.926,0.137,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,10.057,8.613,1.444,0.012,0.001,0.884,0.156,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,16.609,15.276,1.333,0.013,0.002,0.802,0.113,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,3840,0,0.1,25.812,23.737,2.075,0.025,0.001,1.350,0.261,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,13.686,12.726,0.960,0.012,0.002,0.160,0.186,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,22.333,19.968,2.365,0.024,0.002,1.587,0.281,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,10.795,9.389,1.406,0.013,0.002,0.785,0.124,0.480,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,18.539,16.571,1.968,0.014,0.002,0.793,0.595,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,3840,0,0.1,27.964,26.230,1.734,0.026,0.002,0.956,0.214,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,16.337,14.972,1.365,0.013,0.002,0.701,0.120,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,3840,0,0.1,25.437,23.131,2.306,0.025,0.003,1.456,0.245,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,13.298,11.802,1.496,0.012,0.002,0.793,0.110,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,3840,0,0.1,21.615,19.553,2.062,0.024,0.001,1.214,0.211,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,6.751,5.401,1.350,0.013,0.001,0.603,0.121,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,12.836,11.066,1.770,0.013,0.001,0.998,0.122,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,18.352,17.034,1.318,0.011,0.001,0.695,0.096,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,17.439,16.150,1.289,0.010,0.001,0.660,0.110,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,18.273,17.002,1.271,0.011,0.001,0.645,0.097,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,17.987,16.716,1.271,0.009,0.001,0.457,0.114,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,16.036,14.849,1.187,0.010,0.001,0.307,0.132,0.735,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,14.674,13.347,1.327,0.012,0.001,0.642,0.089,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,18.228,16.466,1.762,0.014,0.001,0.903,0.111,0.730,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,3840,0,0.1,23.954,21.091,2.863,0.025,0.001,1.884,0.214,0.737,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,10.994,9.212,1.782,0.012,0.002,0.862,0.131,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,14.748,13.422,1.326,0.013,0.001,0.211,0.187,0.910,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,1920,0,0.1,19.930,18.121,1.809,0.012,0.002,0.863,0.105,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,3.444,1.782,1.662,0.012,0.001,0.777,0.103,0.767,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,10.584,8.907,1.677,0.012,0.001,0.701,0.113,0.847,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,17.109,15.501,1.608,0.014,0.001,0.648,0.117,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,3840,0,0.1,26.299,24.452,1.847,0.025,0.002,0.750,0.206,0.861,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,12.699,11.072,1.627,0.013,0.001,0.598,0.149,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,1920,0,0.1,20.711,18.966,1.745,0.013,0.004,0.722,0.126,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,3.267,1.620,1.647,0.012,0.001,0.665,0.117,0.850,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,1920,0,0.1,9.416,7.662,1.754,0.014,0.001,0.681,0.112,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
