# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.162,0.062,0.100,0.012,0.000,0.072,0.000,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.158,0.052,0.106,0.012,0.001,0.066,0.001,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.425,0.102,0.323,0.013,0.001,0.130,0.121,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.396,0.044,0.352,0.012,0.000,0.143,0.155,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.463,0.040,0.423,0.012,0.001,0.198,0.158,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.513,0.044,0.469,0.012,0.001,0.262,0.126,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.706,0.042,0.664,0.012,0.001,0.328,0.220,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.679,0.056,0.623,0.011,0.001,0.357,0.134,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.678,0.044,0.634,0.012,0.000,0.405,0.108,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.802,0.043,0.759,0.011,0.001,0.513,0.114,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.944,0.042,0.902,0.012,0.000,0.650,0.106,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.172,0.046,1.126,0.012,0.001,0.796,0.172,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.265,0.045,1.220,0.012,0.000,0.930,0.120,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.588,0.046,0.542,0.012,0.000,0.208,0.135,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.255,0.043,1.212,0.011,0.001,0.911,0.105,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.331,0.043,1.288,0.012,0.000,0.959,0.121,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.288,0.043,1.245,0.012,0.001,0.908,0.113,0.210,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,1.270,0.043,1.227,0.012,0.001,0.877,0.112,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,1.279,0.045,1.234,0.011,0.001,0.873,0.109,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.824,0.043,0.781,0.012,0.001,0.355,0.160,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,1.011,0.044,0.967,0.011,0.001,0.579,0.108,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.380,0.056,1.324,0.012,0.001,0.897,0.127,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,1.468,0.083,1.385,0.012,0.002,0.928,0.130,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,6.055,4.630,1.425,0.012,0.000,0.945,0.135,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,11.024,9.561,1.463,0.011,0.001,0.954,0.145,0.350,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,16.315,15.213,1.102,0.012,0.001,0.609,0.128,0.350,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,3840,0,0.1,21.187,19.200,1.987,0.024,0.000,1.344,0.225,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,8.623,7.199,1.424,0.012,0.000,0.874,0.128,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,15.225,13.898,1.327,0.012,0.001,0.790,0.109,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,3840,0,0.1,22.798,20.662,2.136,0.024,0.000,1.439,0.226,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,9.074,8.226,0.848,0.012,0.000,0.154,0.161,0.520,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,15.044,13.645,1.399,0.012,0.001,0.795,0.121,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,3840,0,0.1,22.658,20.300,2.358,0.024,0.000,1.621,0.226,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,9.982,8.476,1.506,0.013,0.001,0.792,0.175,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,17.780,16.291,1.489,0.012,0.001,0.847,0.110,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,3840,0,0.1,23.340,21.655,1.685,0.023,0.001,0.883,0.224,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,10.233,8.803,1.430,0.011,0.001,0.728,0.124,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,15.771,14.306,1.465,0.012,0.000,0.744,0.124,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,20.450,18.906,1.544,0.011,0.000,0.821,0.117,0.592,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,1920,0,0.1,2.961,1.404,1.557,0.012,0.001,0.878,0.108,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,7.075,5.897,1.178,0.012,0.001,0.363,0.150,0.650,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,10.637,9.288,1.349,0.012,0.001,0.586,0.121,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,15.246,13.489,1.757,0.012,0.001,0.956,0.136,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,3840,0,0.1,22.159,19.321,2.838,0.024,0.001,1.918,0.222,0.670,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,8.516,6.739,1.777,0.012,0.001,0.904,0.139,0.718,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,13.598,12.048,1.550,0.012,0.001,0.689,0.123,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,16.864,15.612,1.252,0.012,0.000,0.413,0.128,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,3840,0,0.1,22.337,19.564,2.773,0.024,0.000,1.794,0.231,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,7.686,5.868,1.818,0.012,0.001,0.914,0.137,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,12.386,10.500,1.886,0.012,0.001,0.953,0.147,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,18.072,16.334,1.738,0.011,0.000,0.814,0.119,0.790,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,3840,0,0.1,22.963,20.843,2.120,0.023,0.001,1.055,0.231,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,1920,0,0.1,8.909,7.087,1.822,0.012,0.000,0.881,0.108,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,15.801,14.068,1.733,0.012,0.001,0.746,0.139,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,3840,0,0.1,23.167,20.635,2.532,0.024,0.001,1.404,0.249,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,10.435,9.147,1.288,0.012,0.001,0.139,0.147,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,17.163,15.495,1.668,0.012,0.001,0.652,0.122,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,3840,0,0.1,24.424,21.768,2.656,0.024,0.000,1.469,0.239,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,1920,0,0.1,11.820,10.007,1.813,0.012,0.000,0.760,0.114,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,18.852,17.046,1.806,0.013,0.001,0.734,0.115,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,3840,0,0.1,26.378,24.281,2.097,0.023,0.001,0.788,0.309,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
62,1920,0,0.1,13.380,11.538,1.842,0.012,0.000,0.664,0.122,1.042,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
63,1920,0,0.1,20.333,18.501,1.832,0.012,0.001,0.710,0.122,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
