frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.0,9.5,6.8,83.8,2.2,1675.4,16214.9,84.8,2400.0,917510
200,30.7,12.6,6.8,99.1,4.2,1694.5,16214.9,85.4,2400.0,917510
300,29.0,10.8,3.6,99.2,1.6,1713.5,16214.9,85.9,2400.0,917510
400,28.5,7.3,1.4,99.3,5.5,1736.7,16214.9,85.4,2400.0,917510
500,29.7,3.6,1.3,99.4,15.0,1752.0,16214.9,84.8,2400.0,917510
600,29.5,2.2,0.7,99.3,15.4,1756.5,16214.9,85.4,2400.0,917510
700,29.6,2.6,2.3,99.3,14.6,1755.7,16214.9,84.8,2400.0,917510
800,29.3,2.4,1.2,99.4,14.1,1759.8,16214.9,84.8,2400.0,917510
900,29.2,0.9,1.8,99.4,13.7,1763.9,16214.9,84.8,2400.0,917510
1000,29.3,2.8,3.3,99.1,12.5,1764.4,16214.9,84.3,2400.0,917510
1100,29.4,1.8,2.9,99.4,13.6,1771.5,16214.9,84.8,2400.0,917510
1200,29.8,5.1,6.4,99.4,8.9,1763.0,16214.9,85.9,2400.0,917510
1300,29.1,14.7,7.3,86.9,8.0,1766.5,16214.9,85.4,2400.0,917510
1400,28.7,99.4,7.1,1.3,8.3,1764.5,16214.9,85.9,2400.0,917510
1500,29.0,99.7,7.4,2.2,7.2,1763.0,16214.9,85.4,2400.0,917510
1600,29.7,99.4,8.8,3.9,8.3,1753.2,16214.9,83.2,2400.0,917512
1700,29.0,99.3,7.7,4.2,5.3,1743.2,16214.9,85.9,2400.0,917510
1800,28.6,99.4,8.8,1.3,4.9,1737.5,16214.9,84.8,2400.0,917510
1900,28.5,99.4,8.6,1.0,5.3,1734.2,16214.9,85.4,2400.0,917510
2000,28.7,99.4,9.5,1.9,4.4,1731.5,16214.9,85.9,2400.0,917510
2100,28.9,99.1,9.7,1.9,4.7,1729.9,16214.9,86.5,2400.0,917510
2200,28.5,99.3,8.8,1.4,4.1,1728.8,16214.9,85.9,2400.0,917510
2300,28.0,99.7,6.9,1.7,3.8,1727.7,16214.9,86.5,2400.0,917510
2400,27.7,99.3,7.9,0.7,2.4,1728.3,16214.9,85.9,2400.0,917510
2500,27.7,99.4,6.2,0.9,3.2,1726.6,16214.9,85.4,2400.0,917510
2600,28.0,99.3,7.4,1.0,4.4,1724.8,16214.9,85.4,2400.0,917510
