frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.5,25.9,28.4,26.6,25.0,1648.0,16214.9,84.8,2400.0,917512
200,29.8,31.8,32.0,25.6,30.2,1670.9,16214.9,85.4,2400.0,917510
300,28.2,28.5,28.4,22.3,33.7,1698.1,16214.9,85.9,2400.0,917510
400,28.8,31.4,30.0,22.4,31.3,1710.8,16214.9,85.4,2400.0,917510
500,27.8,32.6,29.8,23.5,25.8,1712.3,16214.9,85.4,2400.0,917510
600,28.7,30.4,27.6,20.3,35.5,1709.4,16214.9,85.4,2400.0,917510
700,28.0,25.8,27.1,24.0,35.0,1719.9,16214.9,85.9,2400.0,917510
800,27.9,29.3,31.2,20.8,29.8,1720.3,16214.9,85.9,2400.0,917510
900,28.0,27.5,30.0,23.3,31.8,1715.0,16214.9,85.9,2400.0,917510
1000,28.5,27.5,28.9,26.8,30.7,1719.1,16214.9,84.8,1900.0,917510
1100,27.4,29.9,31.8,21.8,26.3,1720.3,16214.9,85.4,2400.0,917510
1200,28.3,27.3,32.9,22.9,29.9,1720.2,16214.9,86.5,2400.0,917510
1300,28.1,25.8,24.5,29.5,32.5,1719.7,16214.9,84.3,2400.0,917512
1400,28.1,28.6,24.4,31.2,28.7,1719.4,16214.9,85.9,2400.0,917510
1500,28.3,33.3,22.7,25.9,30.8,1721.8,16214.9,85.4,2400.0,917510
1600,28.3,30.7,25.6,27.2,29.2,1718.2,16214.9,85.9,2400.0,917510
1700,29.0,30.0,25.6,32.6,28.1,1725.7,16214.9,84.8,2400.0,917510
1800,27.5,28.9,21.3,35.8,23.9,1721.9,16214.9,85.9,1800.0,917510
1900,27.7,29.2,21.1,26.6,33.8,1715.9,16214.9,84.8,2400.0,917510
2000,28.2,29.5,24.4,30.7,28.1,1722.8,16214.9,85.9,2400.0,917510
2100,28.3,34.9,22.3,24.6,31.9,1724.7,16214.9,85.4,2400.0,917510
2200,28.0,33.6,21.4,23.6,33.4,1723.1,16214.9,85.4,2400.0,917510
2300,28.1,28.8,22.1,28.9,32.8,1719.5,16214.9,85.9,2400.0,917510
2400,28.1,31.1,21.8,29.9,29.7,1719.2,16214.9,85.9,2400.0,917510
2500,27.8,33.8,23.4,29.0,24.7,1720.7,16214.9,84.8,2400.0,917510
2600,28.1,32.8,22.6,30.2,26.9,1725.1,16214.9,84.8,2400.0,917510
2700,27.5,34.9,20.8,27.7,26.6,1719.3,16214.9,85.9,2400.0,917510
2800,28.1,26.6,23.6,34.0,27.8,1719.2,16214.9,84.8,2400.0,917510
2900,28.4,33.6,21.2,22.6,37.4,1724.8,16214.9,85.4,2400.0,917510
3000,27.9,30.5,17.6,26.0,36.2,1720.0,16214.9,87.0,2400.0,917510
3100,28.2,30.4,21.5,30.4,31.1,1718.9,16214.9,84.3,1800.0,917512
3200,28.4,32.4,27.1,23.2,31.2,1719.5,16214.9,84.8,2400.0,917510
3300,27.9,27.7,34.1,23.1,26.7,1723.4,16214.9,84.3,2400.0,917510
3400,28.1,22.2,32.3,30.9,26.6,1718.7,16214.9,84.8,2400.0,917510
3500,27.6,25.2,33.8,25.2,26.7,1719.4,16214.9,85.9,2400.0,917510
3600,27.6,20.4,36.3,25.6,27.3,1722.0,16214.9,85.4,2400.0,917510
3700,27.7,20.6,26.2,33.7,30.7,1721.4,16214.9,85.4,2400.0,917510
3800,27.7,20.4,37.6,28.2,24.5,1723.0,16214.9,85.9,2400.0,917510
3900,28.6,21.6,34.8,28.6,29.3,1729.9,16214.9,85.9,2400.0,917510
4000,27.3,21.9,33.6,27.8,26.2,1720.6,16214.9,84.8,2400.0,917510
4100,27.6,17.5,37.0,25.5,30.2,1720.3,16214.9,85.4,2400.0,917510
4200,27.8,17.5,31.8,31.1,30.4,1720.1,16214.9,85.4,2400.0,917510
4300,27.9,17.5,38.2,26.4,29.6,1719.0,16214.9,85.4,2400.0,917510
4400,27.7,20.7,28.2,32.7,29.3,1719.5,16214.9,86.5,2400.0,917510
4500,28.1,19.4,28.7,29.3,35.3,1720.7,16214.9,84.8,2400.0,917510
4600,28.0,18.1,36.9,34.6,21.9,1724.3,16214.9,85.4,2400.0,917510
4700,28.0,20.7,32.3,35.7,23.6,1721.2,16214.9,85.9,2400.0,917510
4800,27.1,16.5,32.8,30.3,28.6,1729.3,16214.9,87.0,2400.0,917510
4900,27.8,19.0,32.6,31.9,27.4,1720.9,16214.9,85.9,2400.0,917510
5000,27.9,20.8,26.8,35.7,28.6,1720.0,16214.9,85.9,2400.0,917510
5100,28.4,19.4,35.1,32.3,26.5,1723.6,16214.9,85.9,2400.0,917510
5200,27.6,18.4,34.0,36.2,22.1,1722.9,16214.9,84.3,2400.0,917512
5300,27.3,17.4,21.8,31.1,38.6,1720.9,16214.9,85.9,2400.0,917510
5400,27.5,15.3,29.7,31.5,33.0,1721.9,16214.9,85.9,2400.0,917510
5500,27.8,17.4,34.4,23.9,35.8,1719.5,16214.9,85.4,2400.0,917510
5600,27.4,16.8,24.4,30.7,37.5,1719.8,16214.9,86.5,2400.0,917510
5700,27.1,14.5,34.3,30.8,28.1,1724.7,16214.9,85.4,2400.0,917510
5800,27.4,13.8,32.4,32.6,31.1,1725.6,16214.9,85.9,2400.0,917510
5900,27.0,14.8,36.9,19.1,37.1,1720.9,16214.9,85.4,2400.0,917510
6000,27.3,15.2,43.7,26.7,23.0,1722.4,16214.9,85.4,2400.0,917510
6100,27.1,14.8,29.1,30.1,34.6,1720.4,16214.9,85.4,1800.0,917510
6200,27.9,21.2,30.2,29.8,30.3,1724.2,16214.9,85.4,2400.0,917510
6300,27.3,18.0,35.5,31.8,23.6,1725.3,16214.9,84.3,2400.0,917512
6400,27.4,15.0,31.0,34.7,28.7,1726.5,16214.9,83.7,2400.0,917512
6500,27.5,14.6,36.3,32.1,26.7,1724.2,16214.9,84.3,2400.0,917512
6600,27.3,12.7,31.9,35.3,29.0,1722.9,16214.9,85.9,2400.0,917510
6700,27.8,18.0,36.9,28.3,28.1,1723.3,16214.9,84.3,2400.0,917512
6800,27.9,16.5,37.3,32.4,25.1,1728.6,16214.9,84.8,2400.0,917510
6900,27.2,16.7,33.2,28.2,31.1,1720.9,16214.9,86.5,2400.0,917510
7000,27.3,17.2,33.1,27.5,30.9,1723.3,16214.9,85.4,2400.0,917510
7100,27.5,17.2,29.7,28.1,34.8,1725.7,16214.9,85.4,2400.0,917510
7200,28.0,15.7,31.4,31.7,33.4,1728.2,16214.9,86.5,2400.0,917510
7300,28.7,18.3,27.0,34.0,35.0,1723.1,16214.9,85.4,2400.0,917510
7400,27.5,17.4,30.7,38.7,23.7,1722.7,16214.9,85.4,1800.0,917510
7500,27.6,15.4,31.2,29.4,34.1,1722.1,16214.9,84.8,2400.0,917510
7600,28.3,17.5,32.3,40.6,23.1,1729.2,16214.9,85.9,2400.0,917510
7700,27.7,13.6,33.7,25.8,37.2,1730.1,16214.9,87.0,2400.0,917510
7800,28.0,18.4,36.4,31.7,25.5,1721.9,16214.9,85.4,2400.0,917510
7900,27.6,17.7,30.2,34.6,28.1,1719.9,16214.9,85.4,2400.0,917510
8000,27.6,13.3,46.2,26.4,24.7,1719.0,16214.9,84.3,2400.0,917510
8100,27.8,17.7,30.1,29.1,33.8,1718.4,16214.9,85.4,2400.0,917510
8200,27.3,16.5,35.8,22.1,34.5,1722.0,16214.9,85.9,2400.0,917510
8300,27.4,12.4,43.0,22.9,31.0,1726.9,16214.9,85.4,2400.0,917510
8400,27.6,15.1,27.7,24.4,42.4,1725.4,16214.9,85.9,1800.0,917510
8500,27.6,15.4,33.0,26.9,35.0,1726.9,16214.9,84.8,2400.0,917510
8600,27.5,18.9,31.5,25.1,34.5,1722.5,16214.9,84.3,2400.0,917512
8700,27.8,18.3,25.2,29.9,37.9,1733.4,16214.9,85.9,2400.0,917510
8800,27.7,16.4,35.0,31.5,28.0,1724.9,16214.9,85.9,2400.0,917510
8900,27.7,16.2,33.2,24.6,35.9,1726.4,16214.9,85.4,1800.0,917510
9000,27.5,16.0,41.9,27.6,25.0,1722.7,16214.9,85.9,2400.0,917510
9100,28.0,18.4,33.1,30.4,30.3,1724.8,16214.9,84.8,2400.0,917510
9200,27.5,17.0,27.6,32.3,33.1,1720.9,16214.9,85.9,2400.0,917510
9300,27.5,16.3,28.2,35.5,30.4,1725.6,16214.9,85.4,2400.0,917510
9400,27.7,15.2,27.4,35.4,32.7,1721.5,16214.9,84.3,2400.0,917512
9500,27.8,20.1,34.7,19.9,36.5,1730.3,16214.9,85.4,2400.0,917510
