frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
7000,27.9,25.6,22.1,35.6,28.3,1673.5,16214.9,84.3,2400.0,917510
7100,27.2,31.6,22.0,30.9,23.6,1674.7,16214.9,85.9,2400.0,917510
7200,28.3,30.4,24.8,25.7,32.5,1678.5,16214.9,85.9,2400.0,917510
7300,28.1,23.2,34.3,20.5,35.3,1676.2,16214.9,85.9,2400.0,917510
7400,27.8,28.4,33.9,23.7,24.8,1676.9,16214.9,85.4,2400.0,917510
7500,27.8,26.8,29.9,20.7,34.0,1671.0,16214.9,85.4,2400.0,917510
7600,27.9,32.1,24.5,20.7,34.0,1675.7,16214.9,85.4,2400.0,917510
7700,27.9,31.0,27.5,20.8,32.6,1677.8,16214.9,85.4,2400.0,917510
7800,28.4,29.8,32.1,22.7,28.6,1675.9,16214.9,85.9,2400.0,917510
7900,28.0,29.5,31.3,20.3,31.3,1674.0,16214.9,84.3,2400.0,917512
8000,27.8,29.3,28.4,20.5,33.0,1676.8,16214.9,84.8,2400.0,917510
8100,28.6,32.4,30.3,20.1,31.7,1685.6,16214.9,85.4,2400.0,917510
8200,27.7,31.9,36.5,20.3,22.5,1676.5,16214.9,84.8,2400.0,917510
8300,28.1,29.2,33.3,19.2,30.8,1674.0,16214.9,85.4,2400.0,917510
8400,28.0,31.7,28.7,20.4,31.4,1674.7,16214.9,85.4,2400.0,917510
8500,27.8,26.5,34.7,19.7,30.5,1678.0,16214.9,85.4,1800.0,917510
8600,28.5,28.4,30.2,23.0,32.1,1674.3,16214.9,85.4,2400.0,917510
8700,28.1,32.9,27.2,18.4,34.0,1674.2,16214.9,84.3,2400.0,917512
8800,28.0,31.3,29.9,19.6,31.4,1672.7,16214.9,87.0,2400.0,917510
8900,28.3,31.0,31.1,23.3,28.8,1674.0,16214.9,83.7,2400.0,917512
