frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
7000,27.9,7.9,0.3,99.3,2.7,1685.3,16214.9,84.3,2400.0,917512
7100,28.0,7.6,0.6,99.4,3.8,1684.1,16214.9,86.5,2400.0,917510
7200,28.5,10.6,0.3,99.4,3.8,1682.9,16214.9,83.7,2400.0,917512
7300,28.2,7.5,1.5,99.3,4.8,1681.6,16214.9,84.3,2400.0,917512
7400,28.2,7.9,0.3,99.3,3.9,1684.3,16214.9,84.8,2400.0,917510
7500,27.7,5.5,1.1,99.3,4.0,1683.4,16214.9,85.4,2400.0,917510
7600,28.1,5.1,1.9,99.4,6.1,1689.3,16214.9,84.8,2400.0,917510
7700,28.1,0.6,1.3,99.4,10.2,1686.0,16214.9,86.5,2400.0,917510
7800,28.9,5.9,1.4,99.3,9.9,1684.8,16214.9,85.4,2400.0,917510
7900,27.9,1.7,1.0,99.3,9.0,1683.6,16214.9,84.3,2400.0,917512
8000,28.5,1.8,1.7,99.3,11.0,1684.8,16214.9,85.4,2400.0,917510
8100,27.8,1.7,0.7,99.3,8.3,1681.9,16214.9,84.8,2400.0,917510
8200,28.2,1.7,0.7,99.3,10.7,1682.4,16214.9,85.4,2400.0,917510
8300,27.6,1.0,0.7,99.3,8.3,1683.1,16214.9,85.4,2400.0,917510
8400,28.4,5.0,0.3,99.3,8.5,1684.0,16214.9,85.9,2400.0,917510
8500,28.3,2.0,0.7,99.7,9.9,1684.7,16214.9,85.4,2400.0,917510
8600,28.0,2.1,61.7,39.0,8.9,1692.1,16214.9,84.3,2400.0,917512
8700,27.9,1.5,99.3,1.1,8.9,1688.1,16214.9,84.3,2400.0,917512
8800,27.8,1.0,99.7,0.3,8.8,1686.2,16214.9,85.4,2400.0,917510
8900,27.8,2.1,99.3,1.0,7.7,1685.8,16214.9,84.8,2400.0,917510
9000,28.8,4.7,99.3,1.1,9.4,1685.8,16214.9,85.4,2400.0,917510
9100,28.1,1.7,99.3,1.3,9.4,1684.6,16214.9,84.8,2400.0,917510
9200,28.2,1.8,99.3,0.4,9.9,1685.0,16214.9,84.3,2400.0,917512
9300,28.1,1.8,85.9,14.2,10.1,1681.9,16214.9,84.8,2400.0,917510
9400,27.7,1.9,1.2,99.4,8.2,1681.3,16214.9,84.8,2400.0,917510
9500,28.4,2.1,1.0,99.3,10.4,1683.6,16214.9,84.8,2400.0,917510
9600,28.8,5.6,2.1,99.3,9.3,1686.4,16214.9,84.8,2400.0,917510
9700,28.4,3.0,1.0,99.4,9.1,1683.9,16214.9,85.9,2400.0,917510
9800,27.7,1.8,1.0,99.3,8.0,1682.3,16214.9,84.8,2400.0,917510
9900,27.9,2.7,1.0,99.3,8.4,1682.9,16214.9,85.4,2400.0,917510
10000,27.7,0.8,0.8,99.3,8.3,1685.7,16214.9,85.4,2400.0,917510
10100,27.8,1.7,1.0,99.7,8.2,1681.4,16214.9,83.7,2400.0,917512
10200,28.6,6.6,2.1,99.3,8.2,1682.5,16214.9,84.8,2400.0,917510
10300,27.6,1.1,81.5,18.8,8.3,1683.1,16214.9,83.7,2400.0,917510
10400,28.0,1.7,99.4,1.3,8.5,1680.3,16214.9,85.4,2400.0,917510
10500,28.0,1.4,99.0,1.3,9.6,1683.6,16214.9,84.8,2400.0,917510
