# platform=debian kernel=linux host=lg1 sample_rate=48000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0,0.1,0.090,0.040,0.050,0.004,0.000,0.027,0.000,0.016,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0,0.1,0.089,0.033,0.056,0.004,0.001,0.034,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0,0.1,0.180,0.032,0.148,0.004,0.000,0.060,0.056,0.027,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0,0.1,0.218,0.028,0.190,0.004,0.000,0.107,0.054,0.024,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0,0.1,0.289,0.033,0.256,0.005,0.000,0.146,0.075,0.030,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,0,0.1,0.308,0.026,0.282,0.004,0.001,0.206,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,0,0.1,0.424,0.031,0.393,0.005,0.000,0.265,0.083,0.039,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,0,0.1,0.413,0.034,0.379,0.005,0.000,0.275,0.051,0.048,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,0,0.1,0.444,0.028,0.416,0.004,0.001,0.311,0.050,0.048,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,0,0.1,0.568,0.027,0.541,0.004,0.001,0.426,0.053,0.055,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,0,0.1,0.717,0.027,0.690,0.004,0.001,0.483,0.141,0.060,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,0,0.1,0.752,0.033,0.719,0.004,0.001,0.601,0.046,0.066,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,0,0.1,0.797,0.034,0.763,0.004,0.001,0.643,0.047,0.067,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,0,0.1,0.720,0.034,0.686,0.004,0.000,0.553,0.054,0.074,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,0,0.1,0.187,0.028,0.159,0.005,0.001,0.028,0.049,0.076,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,0,0.1,0.706,0.030,0.676,0.005,0.000,0.542,0.045,0.083,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,0,0.1,0.715,0.027,0.688,0.004,0.001,0.547,0.044,0.090,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,0,0.1,0.762,0.032,0.730,0.005,0.000,0.585,0.048,0.092,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,0,0.1,0.817,0.027,0.790,0.004,0.001,0.592,0.088,0.103,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,0,0.1,0.775,0.034,0.741,0.004,0.001,0.588,0.044,0.103,0.0,0.0,0.0,0.0,0.0,0.0
21,1024,0,0.1,0.818,0.026,0.792,0.004,0.001,0.633,0.047,0.106,0.0,0.0,0.0,0.0,0.0,0.0
22,1024,0,0.1,0.756,0.027,0.729,0.004,0.001,0.557,0.054,0.112,0.0,0.0,0.0,0.0,0.0,0.0
23,1024,0,0.1,0.318,0.023,0.295,0.005,0.000,0.122,0.049,0.118,0.0,0.0,0.0,0.0,0.0,0.0
24,1024,0,0.1,0.897,0.024,0.873,0.005,0.000,0.689,0.042,0.135,0.0,0.0,0.0,0.0,0.0,0.0
25,1024,0,0.1,0.903,0.046,0.857,0.004,0.001,0.633,0.072,0.146,0.0,0.0,0.0,0.0,0.0,0.0
26,1024,0,0.1,0.829,0.037,0.792,0.005,0.001,0.585,0.058,0.142,0.0,0.0,0.0,0.0,0.0,0.0
27,1024,0,0.1,3.577,2.768,0.809,0.007,0.002,0.594,0.061,0.143,0.0,0.0,0.0,0.0,0.0,0.0
28,1024,0,0.1,3.671,2.901,0.770,0.004,0.001,0.557,0.045,0.161,0.0,0.0,0.0,0.0,0.0,0.0
29,1024,0,0.1,1.327,0.584,0.743,0.004,0.001,0.523,0.048,0.166,0.0,0.0,0.0,0.0,0.0,0.0
30,1024,0,0.1,3.145,2.592,0.553,0.005,0.000,0.324,0.043,0.179,0.0,0.0,0.0,0.0,0.0,0.0
31,1024,0,0.1,2.255,1.634,0.621,0.006,0.002,0.193,0.081,0.337,0.0,0.0,0.0,0.0,0.0,0.0
32,1024,0,0.1,2.365,1.521,0.844,0.005,0.002,0.518,0.063,0.253,0.0,0.0,0.0,0.0,0.0,0.0
33,1024,0,0.1,2.191,1.378,0.813,0.005,0.002,0.484,0.066,0.255,0.0,0.0,0.0,0.0,0.0,0.0
34,1024,0,0.1,4.015,3.197,0.818,0.005,0.000,0.473,0.069,0.271,0.0,0.0,0.0,0.0,0.0,0.0
35,1024,0,0.1,6.108,5.179,0.929,0.006,0.001,0.501,0.134,0.283,0.0,0.0,0.0,0.0,0.0,0.0
36,1024,0,0.1,7.094,6.341,0.753,0.004,0.000,0.480,0.044,0.222,0.0,0.0,0.0,0.0,0.0,0.0
37,1024,0,0.1,7.019,6.134,0.885,0.005,0.001,0.511,0.064,0.300,0.0,0.0,0.0,0.0,0.0,0.0
38,1024,0,0.1,3.754,3.081,0.673,0.005,0.001,0.261,0.085,0.317,0.0,0.0,0.0,0.0,0.0,0.0
39,1024,0,0.1,3.955,3.178,0.777,0.006,0.001,0.322,0.089,0.358,0.0,0.0,0.0,0.0,0.0,0.0
40,1024,0,0.1,8.368,7.363,1.005,0.005,0.001,0.591,0.072,0.334,0.0,0.0,0.0,0.0,0.0,0.0
41,1024,0,0.1,6.321,5.338,0.983,0.006,0.001,0.589,0.073,0.310,0.0,0.0,0.0,0.0,0.0,0.0
42,1024,0,0.1,2.781,1.808,0.973,0.006,0.001,0.575,0.061,0.329,0.0,0.0,0.0,0.0,0.0,0.0
43,1024,0,0.1,8.369,7.352,1.017,0.006,0.001,0.585,0.058,0.364,0.0,0.0,0.0,0.0,0.0,0.0
44,1024,0,0.1,9.171,8.305,0.866,0.005,0.000,0.600,0.045,0.215,0.0,0.0,0.0,0.0,0.0,0.0
45,1024,0,0.1,8.811,7.880,0.931,0.005,0.001,0.533,0.057,0.332,0.0,0.0,0.0,0.0,0.0,0.0
46,1024,0,0.1,7.180,6.777,0.403,0.004,0.001,0.142,0.042,0.213,0.0,0.0,0.0,0.0,0.0,0.0
47,1024,0,0.1,5.466,4.534,0.932,0.005,0.001,0.417,0.079,0.428,0.0,0.0,0.0,0.0,0.0,0.0
48,1024,0,0.1,6.459,5.459,1.000,0.006,0.001,0.525,0.064,0.401,0.0,0.0,0.0,0.0,0.0,0.0
49,1024,0,0.1,5.555,4.712,0.843,0.004,0.001,0.527,0.042,0.267,0.0,0.0,0.0,0.0,0.0,0.0
50,1024,0,0.1,2.428,1.569,0.859,0.004,0.001,0.532,0.044,0.276,0.0,0.0,0.0,0.0,0.0,0.0
51,1024,0,0.1,4.266,3.262,1.004,0.005,0.001,0.527,0.073,0.395,0.0,0.0,0.0,0.0,0.0,0.0
52,1024,0,0.1,5.464,4.476,0.988,0.005,0.000,0.539,0.065,0.378,0.0,0.0,0.0,0.0,0.0,0.0
53,1024,0,0.1,9.784,8.717,1.067,0.005,0.001,0.582,0.071,0.405,0.0,0.0,0.0,0.0,0.0,0.0
54,1024,0,0.1,6.162,5.360,0.802,0.007,0.002,0.069,0.094,0.626,0.0,0.0,0.0,0.0,0.0,0.0
55,1024,0,0.1,10.152,9.236,0.916,0.005,0.001,0.554,0.046,0.309,0.0,0.0,0.0,0.0,0.0,0.0
56,1024,0,0.1,9.908,8.726,1.182,0.006,0.001,0.680,0.064,0.428,0.0,0.0,0.0,0.0,0.0,0.0
57,1024,0,0.1,10.347,9.273,1.074,0.004,0.001,0.706,0.047,0.315,0.0,0.0,0.0,0.0,0.0,0.0
58,1024,0,0.1,10.834,9.691,1.143,0.006,0.001,0.708,0.087,0.338,0.0,0.0,0.0,0.0,0.0,0.0
59,1024,0,0.1,9.606,8.481,1.125,0.006,0.001,0.714,0.057,0.344,0.0,0.0,0.0,0.0,0.0,0.0
60,1024,0,0.1,10.353,9.249,1.104,0.004,0.001,0.721,0.046,0.330,0.0,0.0,0.0,0.0,0.0,0.0
61,1024,0,0.1,9.320,8.336,0.984,0.005,0.000,0.595,0.046,0.337,0.0,0.0,0.0,0.0,0.0,0.0
62,1024,0,0.1,7.944,7.065,0.879,0.005,0.001,0.110,0.102,0.657,0.0,0.0,0.0,0.0,0.0,0.0
63,1024,0,0.1,6.948,5.836,1.112,0.006,0.002,0.697,0.062,0.342,0.0,0.0,0.0,0.0,0.0,0.0
64,1024,0,0.1,6.048,4.921,1.127,0.005,0.000,0.691,0.045,0.385,0.0,0.0,0.0,0.0,0.0,0.0
65,1024,0,0.1,6.028,4.897,1.131,0.006,0.002,0.674,0.057,0.389,0.0,0.0,0.0,0.0,0.0,0.0
66,1024,0,0.1,6.759,5.644,1.115,0.007,0.001,0.661,0.059,0.386,0.0,0.0,0.0,0.0,0.0,0.0
67,1024,0,0.1,6.849,5.597,1.252,0.006,0.001,0.771,0.108,0.362,0.0,0.0,0.0,0.0,0.0,0.0
68,1024,0,0.1,7.075,6.053,1.022,0.005,0.001,0.614,0.045,0.357,0.0,0.0,0.0,0.0,0.0,0.0
69,1024,0,0.1,6.751,5.818,0.933,0.006,0.001,0.385,0.072,0.467,0.0,0.0,0.0,0.0,0.0,0.0
70,1024,0,0.1,6.349,5.185,1.164,0.006,0.001,0.504,0.073,0.576,0.0,0.0,0.0,0.0,0.0,0.0
71,1024,0,0.1,5.359,4.227,1.132,0.006,0.001,0.581,0.066,0.476,0.0,0.0,0.0,0.0,0.0,0.0
72,1024,0,0.1,4.413,3.277,1.136,0.005,0.002,0.592,0.064,0.470,0.0,0.0,0.0,0.0,0.0,0.0
73,1024,0,0.1,1.943,0.913,1.030,0.004,0.001,0.596,0.046,0.381,0.0,0.0,0.0,0.0,0.0,0.0
74,1024,0,0.1,2.953,1.778,1.175,0.006,0.002,0.596,0.063,0.505,0.0,0.0,0.0,0.0,0.0,0.0
75,1024,0,0.1,2.396,1.240,1.156,0.005,0.001,0.706,0.058,0.384,0.0,0.0,0.0,0.0,0.0,0.0
76,1024,0,0.1,1.840,0.754,1.086,0.004,0.001,0.638,0.044,0.397,0.0,0.0,0.0,0.0,0.0,0.0
77,1024,0,0.1,0.867,0.074,0.793,0.005,0.004,0.307,0.059,0.415,0.0,0.0,0.0,0.0,0.0,0.0
78,1024,0,0.1,0.848,0.047,0.801,0.004,0.000,0.325,0.059,0.411,0.0,0.0,0.0,0.0,0.0,0.0
79,1024,0,0.1,1.902,0.555,1.347,0.005,0.000,0.701,0.058,0.580,0.0,0.0,0.0,0.0,0.0,0.0
80,1024,0,0.1,2.085,0.864,1.221,0.006,0.001,0.625,0.066,0.522,0.0,0.0,0.0,0.0,0.0,0.0
81,1024,0,0.1,3.810,2.581,1.229,0.005,0.001,0.591,0.097,0.534,0.0,0.0,0.0,0.0,0.0,0.0
82,1024,0,0.1,4.680,3.411,1.269,0.006,0.001,0.608,0.067,0.586,0.0,0.0,0.0,0.0,0.0,0.0
83,1024,0,0.1,5.113,4.035,1.078,0.006,0.001,0.512,0.064,0.493,0.0,0.0,0.0,0.0,0.0,0.0
84,1024,0,0.1,4.896,3.721,1.175,0.006,0.001,0.440,0.071,0.654,0.0,0.0,0.0,0.0,0.0,0.0
85,1024,0,0.1,4.706,3.954,0.752,0.004,0.001,0.228,0.044,0.474,0.0,0.0,0.0,0.0,0.0,0.0
86,1024,0,0.1,2.619,1.512,1.107,0.005,0.001,0.519,0.075,0.503,0.0,0.0,0.0,0.0,0.0,0.0
87,1024,0,0.1,1.561,0.305,1.256,0.004,0.001,0.501,0.068,0.680,0.0,0.0,0.0,0.0,0.0,0.0
88,1024,0,0.1,1.137,0.043,1.094,0.005,0.001,0.523,0.086,0.476,0.0,0.0,0.0,0.0,0.0,0.0
89,1024,0,0.1,1.108,0.048,1.060,0.004,0.001,0.502,0.062,0.489,0.0,0.0,0.0,0.0,0.0,0.0
90,1024,0,0.1,1.594,0.537,1.057,0.005,0.001,0.539,0.044,0.467,0.0,0.0,0.0,0.0,0.0,0.0
91,1024,0,0.1,1.127,0.092,1.035,0.004,0.000,0.502,0.046,0.480,0.0,0.0,0.0,0.0,0.0,0.0
92,1024,0,0.1,1.180,0.032,1.148,0.004,0.001,0.558,0.056,0.528,0.0,0.0,0.0,0.0,0.0,0.0
93,1024,0,0.1,0.735,0.044,0.691,0.005,0.001,0.089,0.062,0.532,0.0,0.0,0.0,0.0,0.0,0.0
94,1024,0,0.1,8.501,5.109,3.392,0.008,0.001,0.807,1.766,0.805,0.0,0.0,0.0,46.9,48031.9,1024.0
95,1024,0,0.1,21.799,20.104,1.695,0.007,0.094,0.827,0.063,0.700,47.1,48230.0,1024.0,46.9,48031.9,1024.0
96,2048,0,0.1,34.300,31.469,2.831,0.013,0.068,1.876,0.144,0.727,47.1,48230.0,1024.0,46.9,48031.9,1024.0
97,1024,0,0.1,16.590,15.270,1.320,0.006,0.027,0.711,0.055,0.520,47.1,48230.0,1024.0,46.9,48031.9,1024.0
98,1024,0,0.1,17.254,16.026,1.228,0.005,0.024,0.628,0.044,0.526,47.1,48230.0,1024.0,46.9,48031.9,1024.0
99,1024,0,0.1,16.581,15.432,1.149,0.005,0.024,0.557,0.047,0.514,47.1,48230.0,1024.0,46.9,48031.9,1024.0
100,1024,0,0.1,17.058,16.094,0.964,0.006,0.027,0.044,0.097,0.786,47.1,48230.0,1024.0,46.9,48031.9,1024.0
101,1024,0,0.1,19.379,18.181,1.198,0.007,0.067,0.041,0.088,0.993,47.1,48230.0,1024.0,46.9,48031.9,1024.0
102,1024,0,0.1,20.351,18.779,1.572,0.007,0.027,0.688,0.284,0.563,47.1,48230.0,1024.0,46.9,48031.9,1024.0
103,2048,0,0.1,27.633,25.629,2.004,0.011,0.052,1.237,0.107,0.596,47.1,48230.0,1024.0,46.9,48031.9,1024.0
104,1024,0,0.1,2.931,1.721,1.210,0.004,0.025,0.580,0.047,0.552,47.1,48230.0,1024.0,46.9,48031.9,1024.0
105,1024,0,0.1,7.603,6.188,1.415,0.006,0.028,0.621,0.070,0.687,47.1,48230.0,1024.0,46.9,48031.9,1024.0
106,1024,0,0.1,6.635,5.328,1.307,0.005,0.029,0.419,0.069,0.782,47.1,48230.0,1024.0,46.9,48031.9,1024.0
107,1024,0,0.1,4.915,3.693,1.222,0.006,0.029,0.038,0.097,1.050,47.1,48230.0,1024.0,46.9,48031.9,1024.0
108,1024,0,0.1,5.994,4.617,1.377,0.006,0.051,0.125,0.417,0.775,47.1,48230.0,1024.0,46.9,48031.9,1024.0
109,1024,0,0.1,14.730,12.842,1.888,0.008,0.037,0.934,0.087,0.819,47.1,48230.0,1024.0,46.9,48031.9,1024.0
