frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.1,26.5,59.5,11.1,7.7,789.0,16214.9,59.0,2400.0,0
200,32.1,98.1,0.0,13.9,15.8,825.2,16214.9,60.1,2400.0,0
300,30.6,99.5,0.9,12.4,10.0,860.1,16214.9,60.1,2400.0,0
400,29.2,99.5,1.4,9.7,6.6,868.5,16214.9,60.6,2400.0,0
500,28.4,99.1,1.0,6.9,4.8,870.3,16214.9,62.3,2400.0,0
600,29.4,99.5,2.8,8.5,6.9,865.9,16214.9,61.1,2400.0,0
700,28.3,99.6,2.2,8.2,4.0,846.3,16214.9,61.7,2400.0,0
800,29.7,99.5,1.5,13.6,4.1,853.2,16214.9,62.8,2400.0,0
900,30.1,99.5,1.4,15.0,4.5,857.4,16214.9,62.8,2400.0,0
1000,29.0,99.5,1.0,10.3,4.4,857.3,16214.9,62.3,2400.0,0
1100,28.3,99.5,1.9,6.2,4.6,862.4,16214.9,61.7,2400.0,0
