frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,28.6,11.8,39.8,49.3,13.3,1295.4,16214.9,54.6,2400.0,0
200,32.4,13.9,99.1,3.3,14.0,1344.4,16214.9,55.6,2400.0,0
300,30.9,8.6,99.1,2.4,12.4,1366.2,16214.9,56.2,2400.0,0
400,30.3,6.1,99.5,3.7,11.4,1374.5,16214.9,56.2,2400.0,0
500,29.4,5.4,98.6,2.4,11.4,1377.0,16214.9,57.3,2400.0,0
600,30.3,6.7,99.5,4.6,10.7,1390.3,16214.9,57.9,2400.0,0
700,28.8,5.9,99.1,1.4,7.5,1364.2,16214.9,58.4,2400.0,0
800,30.2,7.1,99.5,1.5,12.3,1369.6,16214.9,58.4,2400.0,0
900,30.4,3.3,99.1,3.2,15.2,1365.1,16214.9,59.0,2400.0,0
1000,30.4,5.5,99.5,2.5,13.4,1366.0,16214.9,59.5,2400.0,0
1100,29.8,5.2,99.5,1.9,11.9,1372.8,16214.9,59.5,2400.0,0
1200,29.2,4.8,99.0,1.4,11.8,1364.8,16214.9,59.5,2400.0,0
1300,30.4,8.9,99.5,2.8,8.7,1373.8,16214.9,59.5,2400.0,0
1400,28.7,3.7,99.1,4.1,6.6,1353.3,16214.9,59.0,2400.0,0
