# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
44,1024,5.830,2.668,3.162,0.009,0.000,1.142,0.344,1.663,0.0,0.0,0.0,0.0,0.0,0.0
45,1024,10.949,7.380,3.569,0.012,0.001,1.399,0.358,1.788,0.0,0.0,0.0,0.0,0.0,0.0
46,1024,13.599,10.108,3.491,0.013,0.000,1.282,0.357,1.827,0.0,0.0,0.0,0.0,0.0,0.0
47,1024,20.546,16.074,4.472,0.010,0.001,2.241,0.355,1.856,0.0,0.0,0.0,0.0,0.0,0.0
48,2048,31.918,24.678,7.240,0.022,0.001,4.626,0.685,1.895,0.0,0.0,0.0,0.0,0.0,0.0
49,1024,17.627,12.900,4.727,0.012,0.001,2.338,0.361,2.004,0.0,0.0,0.0,0.0,0.0,0.0
50,1024,24.379,20.654,3.725,0.012,0.001,1.314,0.364,2.023,0.0,0.0,0.0,0.0,0.0,0.0
51,1024,4.978,2.180,2.798,0.009,0.000,0.397,0.353,2.034,0.0,0.0,0.0,0.0,0.0,0.0
52,1024,13.762,8.969,4.793,0.012,0.001,2.295,0.353,2.121,0.0,0.0,0.0,0.0,0.0,0.0
53,1024,22.550,17.518,5.032,0.011,0.001,2.479,0.374,2.157,0.0,0.0,0.0,0.0,0.0,0.0
54,1024,5.463,0.347,5.116,0.007,0.000,2.650,0.333,2.123,0.0,0.0,0.0,0.0,0.0,0.0
55,1024,16.471,11.031,5.440,0.010,0.001,2.841,0.352,2.225,0.0,0.0,0.0,0.0,0.0,0.0
56,1024,25.908,20.508,5.400,0.011,0.000,2.755,0.354,2.270,0.0,0.0,0.0,0.0,0.0,0.0
57,1024,9.653,4.337,5.316,0.008,0.000,2.751,0.335,2.218,0.0,0.0,0.0,0.0,0.0,0.0
58,1024,18.666,14.643,4.023,0.012,0.001,1.243,0.376,2.379,0.0,0.0,0.0,0.0,0.0,0.0
59,2048,40.265,33.292,6.973,0.025,0.001,3.639,0.694,2.600,0.0,0.0,0.0,0.0,0.0,0.0
60,2048,33.255,25.461,7.794,0.021,0.000,4.594,0.684,2.483,0.0,0.0,0.0,0.0,0.0,0.0
61,1024,21.196,16.338,4.858,0.011,0.001,1.939,0.378,2.519,0.0,0.0,0.0,0.0,0.0,0.0
62,1024,5.614,0.138,5.476,0.007,0.001,2.653,0.338,2.474,0.0,0.0,0.0,0.0,0.0,0.0
63,1024,17.225,11.515,5.710,0.011,0.001,2.664,0.352,2.668,0.0,0.0,0.0,0.0,0.0,0.0
64,2048,28.023,22.242,5.781,0.021,0.001,2.348,0.739,2.661,0.0,0.0,0.0,0.0,0.0,0.0
65,1024,18.643,13.014,5.629,0.012,0.001,2.440,0.354,2.811,0.0,0.0,0.0,0.0,0.0,0.0
66,2048,30.278,22.440,7.838,0.019,0.002,4.357,0.681,2.770,0.0,0.0,0.0,0.0,0.0,0.0
67,1024,23.324,17.803,5.521,0.010,0.001,2.185,0.418,2.896,0.0,0.0,0.0,0.0,0.0,0.0
68,1024,5.914,0.301,5.613,0.008,0.001,2.344,0.353,2.903,0.0,0.0,0.0,0.0,0.0,0.0
69,1024,17.124,11.596,5.528,0.012,0.001,2.159,0.363,2.983,0.0,0.0,0.0,0.0,0.0,0.0
70,2048,31.664,25.490,6.174,0.023,0.001,2.402,0.722,3.014,0.0,0.0,0.0,0.0,0.0,0.0
71,1024,20.322,14.765,5.557,0.014,0.001,2.048,0.358,3.124,0.0,0.0,0.0,0.0,0.0,0.0
72,2048,34.780,26.832,7.948,0.023,0.001,4.041,0.684,3.187,0.0,0.0,0.0,0.0,0.0,0.0
73,2048,29.539,21.998,7.541,0.022,0.000,3.567,0.684,3.260,0.0,0.0,0.0,0.0,0.0,0.0
74,2048,27.639,21.674,5.965,0.021,0.000,1.829,0.704,3.400,0.0,0.0,0.0,0.0,0.0,0.0
75,1024,24.618,12.560,12.058,0.010,0.002,1.768,6.933,3.334,0.0,0.0,0.0,0.0,0.0,0.0
76,1024,14.254,8.564,5.690,0.010,0.126,1.835,0.349,3.360,0.0,0.0,0.0,0.0,0.0,0.0
77,1024,24.757,19.267,5.490,0.011,0.065,1.613,0.397,3.394,0.0,0.0,0.0,0.0,0.0,0.0
78,1024,9.083,3.774,5.309,0.009,0.061,1.538,0.337,3.361,0.0,0.0,0.0,0.0,0.0,0.0
79,1024,14.093,8.504,5.589,0.011,0.064,1.648,0.408,3.451,0.0,0.0,0.0,0.0,0.0,0.0
80,1024,19.612,14.037,5.575,0.011,0.065,1.415,0.360,3.715,0.0,0.0,0.0,0.0,0.0,0.0
81,2048,28.288,22.638,5.650,0.024,0.136,1.075,0.717,3.685,0.0,0.0,0.0,0.0,0.0,0.0
82,1024,26.238,20.623,5.615,0.011,0.108,0.174,1.414,3.897,0.0,0.0,0.0,0.0,0.0,0.0
83,1024,10.431,4.897,5.534,0.009,0.061,1.393,0.352,3.715,0.0,0.0,0.0,0.0,0.0,0.0
84,2048,38.127,27.119,11.008,0.022,0.157,4.245,0.691,5.884,47.4,48567.1,1024.0,41.6,48182.3,1158.0
85,2048,32.379,23.989,8.390,0.018,0.120,3.652,0.726,3.866,47.4,48567.1,1024.0,41.6,48182.3,1158.0
86,1024,26.221,17.190,9.031,0.013,0.067,1.155,0.359,7.423,47.4,48567.1,1024.0,41.6,48182.3,1158.0
87,1024,9.113,4.696,4.417,0.009,0.061,0.086,0.347,3.909,47.4,48567.1,1024.0,41.6,48182.3,1158.0
88,1024,23.638,17.635,6.003,0.012,0.123,0.558,0.863,4.431,47.4,48567.1,1024.0,41.6,48182.3,1158.0
89,1024,19.564,11.877,7.687,0.011,0.067,2.189,0.354,5.054,47.4,48567.1,1024.0,41.6,48182.3,1158.0
90,2048,41.653,32.425,9.228,0.024,0.128,3.575,0.722,4.767,47.4,48567.1,1024.0,41.6,48182.3,1158.0
91,2048,40.851,29.808,11.043,0.018,0.135,5.566,0.698,4.613,47.4,48567.1,1024.0,41.6,48182.3,1158.0
92,2048,38.290,31.945,6.345,0.022,0.129,0.885,0.710,4.585,47.4,48567.1,1024.0,41.6,48182.3,1158.0
93,2048,32.336,22.863,9.473,0.020,0.178,3.619,1.194,4.451,47.4,48567.1,1024.0,41.6,48182.3,1158.0
94,2048,35.243,25.597,9.646,0.020,0.127,4.296,0.701,4.490,47.4,48567.1,1024.0,41.6,48182.3,1158.0
95,1024,26.079,18.688,7.391,0.012,0.071,2.321,0.470,4.507,47.4,48567.1,1024.0,41.6,48182.3,1158.0
96,1024,11.876,4.949,6.927,0.010,0.062,2.057,0.347,4.444,47.4,48567.1,1024.0,41.6,48182.3,1158.0
97,1024,19.586,14.140,5.446,0.011,0.066,0.385,0.391,4.579,47.4,48567.1,1024.0,41.6,48182.3,1158.0
98,2048,30.184,22.659,7.525,0.024,0.169,1.305,1.293,4.724,47.4,48567.1,1024.0,41.6,48182.3,1158.0
99,1024,27.412,20.343,7.069,0.010,0.065,1.878,0.367,4.736,47.4,48567.1,1024.0,41.6,48182.3,1158.0
100,1024,12.245,4.956,7.289,0.008,0.061,2.176,0.346,4.689,47.4,48567.1,1024.0,41.6,48182.3,1158.0
101,2048,34.724,24.974,9.750,0.021,0.122,4.037,0.740,4.818,47.4,48567.1,1024.0,41.6,48182.3,1158.0
102,1024,25.444,18.069,7.375,0.011,0.066,2.071,0.347,4.869,47.4,48567.1,1024.0,41.6,48182.3,1158.0
