frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0.138,0.038,0.100,0.007,0.001,0.062,0.001,0.025,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0.181,0.028,0.153,0.007,0.001,0.117,0.000,0.025,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0.574,0.031,0.543,0.007,0.001,0.233,0.242,0.057,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0.884,0.028,0.856,0.007,0.001,0.407,0.346,0.092,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,1.088,0.030,1.058,0.007,0.001,0.559,0.356,0.132,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,1.382,0.029,1.353,0.007,0.000,0.839,0.326,0.178,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,1.830,0.044,1.786,0.007,0.001,1.161,0.402,0.213,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,1.792,0.031,1.761,0.007,0.000,1.159,0.333,0.259,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,1.923,0.031,1.892,0.007,0.001,1.248,0.345,0.288,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,2.290,0.032,2.258,0.007,0.001,1.579,0.334,0.334,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,2.748,0.029,2.719,0.008,0.000,1.950,0.374,0.386,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,2.925,0.030,2.895,0.007,0.000,2.141,0.335,0.409,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,3.519,0.030,3.489,0.007,0.000,2.684,0.335,0.460,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,3.096,0.030,3.066,0.008,0.000,2.232,0.336,0.487,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,1.827,0.027,1.800,0.007,0.000,0.925,0.337,0.526,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,2.120,0.029,2.091,0.007,0.001,1.163,0.336,0.583,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,2.308,0.032,2.276,0.008,0.000,1.311,0.339,0.617,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,3.417,0.031,3.386,0.007,0.000,2.366,0.342,0.668,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,3.571,0.045,3.526,0.007,0.001,2.361,0.468,0.686,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,3.402,0.069,3.333,0.008,0.002,2.253,0.337,0.729,0.0,0.0,0.0,0.0,0.0,0.0
21,1024,3.613,0.048,3.565,0.007,0.001,2.434,0.351,0.768,0.0,0.0,0.0,0.0,0.0,0.0
22,1024,3.598,0.042,3.556,0.007,0.000,2.401,0.338,0.807,0.0,0.0,0.0,0.0,0.0,0.0
23,1024,2.561,0.512,2.049,0.009,0.001,0.791,0.349,0.891,0.0,0.0,0.0,0.0,0.0,0.0
24,1024,4.639,1.789,2.850,0.012,0.035,1.509,0.357,0.928,0.0,0.0,0.0,0.0,0.0,0.0
25,1024,7.436,4.128,3.308,0.011,0.001,1.948,0.357,0.983,0.0,0.0,0.0,0.0,0.0,0.0
26,1024,15.558,11.820,3.738,0.011,0.001,2.310,0.357,1.050,0.0,0.0,0.0,0.0,0.0,0.0
27,2048,34.427,28.294,6.133,0.023,0.001,4.387,0.663,1.051,0.0,0.0,0.0,0.0,0.0,0.0
28,2048,29.007,23.056,5.951,0.019,0.001,4.120,0.683,1.120,0.0,0.0,0.0,0.0,0.0,0.0
29,1024,20.174,18.224,1.950,0.011,0.001,0.305,0.369,1.256,0.0,0.0,0.0,0.0,0.0,0.0
30,2048,37.147,32.094,5.053,0.021,0.001,3.077,0.693,1.254,0.0,0.0,0.0,0.0,0.0,0.0
31,2048,33.097,26.482,6.615,0.057,0.001,4.509,0.718,1.321,0.0,0.0,0.0,0.0,0.0,0.0
32,2048,31.502,24.697,6.805,0.023,0.001,4.686,0.674,1.414,0.0,0.0,0.0,0.0,0.0,0.0
33,2048,28.079,23.152,4.927,0.022,0.001,2.657,0.703,1.535,0.0,0.0,0.0,0.0,0.0,0.0
34,1024,22.928,18.699,4.229,0.010,0.001,2.087,0.364,1.758,0.0,0.0,0.0,0.0,0.0,0.0
35,1024,5.324,1.363,3.961,0.008,0.001,2.072,0.340,1.538,0.0,0.0,0.0,0.0,0.0,0.0
36,1024,19.713,15.438,4.275,0.009,0.001,2.162,0.361,1.733,0.0,0.0,0.0,0.0,0.0,0.0
