frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,7.4,3.4,2.0,23.0,1.4,1699.0,16214.9,83.2,2400.0,917512
200,27.9,6.3,1.2,99.1,3.6,1732.8,16214.9,84.3,2400.0,917512
300,25.2,2.4,1.4,95.6,0.7,1725.8,16214.9,84.8,2400.0,917512
400,26.3,2.7,2.7,98.7,0.0,1732.9,16214.9,85.4,2400.0,917510
500,25.6,2.6,0.7,99.3,0.0,1726.9,16214.9,85.4,2400.0,917510
600,27.6,8.0,2.0,99.0,1.7,1580.7,16214.9,84.8,2400.0,917510
700,25.8,1.4,1.4,98.6,0.0,1573.8,16214.9,84.8,2400.0,917510
800,26.0,3.1,1.7,98.6,0.0,1577.5,16214.9,83.7,2400.0,917512
900,26.5,2.1,3.4,99.0,0.3,1581.3,16214.9,84.8,2400.0,917510
1000,26.0,2.1,2.1,99.0,0.7,1577.1,16214.9,85.9,2400.0,917510
