# platform=debian kernel=linux host=lg1 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0.451,0.193,0.258,0.008,0.000,0.243,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0.269,0.028,0.241,0.008,0.000,0.233,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0.526,0.028,0.498,0.007,0.000,0.490,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0.747,0.025,0.722,0.007,0.000,0.714,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0.898,0.037,0.861,0.008,0.000,0.851,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,1.069,0.026,1.043,0.007,0.000,1.035,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,2.338,1.089,1.249,0.009,0.000,1.239,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,4.056,2.782,1.274,0.008,0.000,1.264,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,3.108,1.701,1.407,0.009,0.000,1.396,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,1.704,0.025,1.679,0.007,0.000,1.670,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,1.916,0.030,1.886,0.007,0.000,1.877,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,2.222,0.026,2.196,0.007,0.000,2.187,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,2.426,0.062,2.364,0.007,0.000,2.356,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,2.325,0.039,2.286,0.008,0.000,2.277,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,2.431,0.860,1.571,0.008,0.000,1.560,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,1.868,0.530,1.338,0.008,0.000,1.329,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,3.045,0.328,2.717,0.007,0.000,2.708,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,4.466,1.730,2.736,0.008,0.000,2.726,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,5.077,1.671,3.406,0.008,0.000,3.397,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,17.250,13.060,4.190,0.011,0.000,4.176,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
21,2048,30.405,24.022,6.383,0.024,0.000,6.358,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
22,1024,17.390,15.643,1.747,0.011,0.000,1.732,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
23,1024,18.354,16.146,2.208,0.008,0.000,2.197,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
24,1024,18.335,15.666,2.669,0.008,0.000,2.659,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
25,1024,19.725,16.983,2.742,0.008,0.000,2.731,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
26,1024,4.218,1.394,2.824,0.007,0.000,2.815,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
27,1024,7.977,5.251,2.726,0.007,0.000,2.718,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
28,1024,12.032,9.333,2.699,0.007,0.000,2.691,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
29,1024,14.879,12.953,1.926,0.008,0.000,1.917,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
30,1024,13.829,13.283,0.546,0.008,0.000,0.537,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
31,1024,15.293,12.999,2.294,0.007,0.000,2.285,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
32,1024,16.946,14.408,2.538,0.008,0.000,2.529,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
33,1024,17.182,14.659,2.523,0.008,0.000,2.514,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
34,1024,20.719,18.069,2.650,0.008,0.000,2.641,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
35,1024,23.735,21.241,2.494,0.007,0.000,2.486,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
36,1024,22.476,20.048,2.428,0.008,0.000,2.417,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
37,1024,6.851,4.555,2.296,0.008,0.000,2.287,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
38,1024,9.372,7.723,1.649,0.008,0.000,1.640,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
39,1024,8.183,6.331,1.852,0.008,0.000,1.843,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
40,1024,9.130,6.418,2.712,0.008,0.000,2.703,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
41,1024,9.740,7.120,2.620,0.008,0.000,2.609,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
42,1024,12.182,9.126,3.056,0.007,0.000,3.047,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
43,1024,15.863,12.600,3.263,0.008,0.000,3.253,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
44,1024,18.691,15.460,3.231,0.008,0.000,3.222,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
45,1024,20.062,17.632,2.430,0.008,0.000,2.420,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
46,1024,20.610,19.387,1.223,0.008,0.000,1.212,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
47,1024,23.088,20.023,3.065,0.007,0.000,3.057,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
48,1024,21.002,17.573,3.429,0.008,0.000,3.418,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
49,1024,10.149,7.066,3.083,0.007,0.000,3.075,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
50,1024,14.286,11.212,3.074,0.008,0.000,3.065,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
51,1024,16.539,13.305,3.234,0.008,0.000,3.224,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
