# platform=macos kernel=darwin host=gyeongjinui-MacBookAir-3.local device=unknown git_commit=40af12c sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,noise_floor,ref_peak,noise_ratio,sync_lost,beat_missed
1,960,0,0.0,2.400,2.374,0.026,0.004,0.000,0.018,0.000,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.000037,0.002369,0.015477,0,0
2,2880,0,0.1,26.722,26.647,0.075,0.010,0.000,0.053,0.000,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.003777,0.064550,0.058516,0,0
3,960,0,0.0,4.785,4.755,0.030,0.003,0.001,0.017,0.000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003127,0.064128,0.048761,0,0
4,960,0,0.0,1.123,1.055,0.068,0.004,0.000,0.023,0.031,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.002434,0.063708,0.038205,0,0
5,960,0,0.0,0.360,0.298,0.062,0.005,0.000,0.024,0.023,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.002231,0.063292,0.035250,0,0
6,960,0,0.0,0.105,0.023,0.082,0.003,0.001,0.028,0.024,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.002041,0.062878,0.032465,0,0
7,960,0,0.0,0.083,0.023,0.060,0.003,0.000,0.029,0.012,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.001816,0.062467,0.029073,0,0
8,960,0,0.0,0.167,0.049,0.118,0.004,0.000,0.042,0.041,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.001730,0.062058,0.027873,0,0
9,960,0,0.0,0.091,0.018,0.073,0.003,0.001,0.035,0.012,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.001666,0.061651,0.027018,0,0
10,960,0,0.0,0.094,0.017,0.077,0.004,0.000,0.038,0.012,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.001503,0.061248,0.024547,0,0
11,960,0,0.0,0.125,0.032,0.093,0.004,0.000,0.040,0.014,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.001503,0.060849,0.024708,0,0
12,960,0,0.0,0.144,0.035,0.109,0.004,0.000,0.048,0.026,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.001443,0.060471,0.023866,0,0
13,960,0,0.0,0.112,0.019,0.093,0.004,0.000,0.048,0.012,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.001810,0.072858,0.024836,0,0
14,960,0,0.0,0.119,0.017,0.102,0.004,0.000,0.054,0.011,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.001958,0.072391,0.027042,0,0
15,960,0,0.0,0.131,0.025,0.106,0.003,0.000,0.054,0.012,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.001958,0.071918,0.027219,0,0
16,960,0,0.0,0.137,0.032,0.105,0.003,0.000,0.055,0.012,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.071446,0.026370,0,0
17,960,0,0.0,0.423,0.306,0.117,0.004,0.000,0.063,0.011,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.001810,0.070978,0.025494,0,0
18,960,0,0.0,0.153,0.023,0.130,0.004,0.000,0.072,0.012,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.001680,0.070513,0.023822,0,0
19,960,0,0.0,2.174,2.034,0.140,0.004,0.000,0.076,0.012,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.001612,0.070050,0.023009,0,0
20,960,0,0.0,2.874,2.737,0.137,0.004,0.000,0.080,0.012,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.001566,0.069591,0.022506,0,0
21,960,0,0.0,2.922,2.759,0.163,0.003,0.000,0.090,0.023,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.001503,0.069135,0.021747,0,0
22,960,0,0.0,5.136,4.979,0.157,0.004,0.000,0.093,0.016,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.001443,0.068683,0.021013,0,0
23,960,0,0.0,6.291,6.132,0.159,0.004,0.000,0.097,0.012,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.001500,0.068233,0.021991,0,0
24,960,0,0.0,7.348,7.171,0.177,0.003,0.001,0.103,0.019,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.001443,0.067786,0.021291,0,0
25,960,0,0.0,9.835,9.725,0.110,0.005,0.001,0.043,0.011,0.050,0.0,0.0,0.0,0.0,0.0,0.0,0.001443,0.067374,0.021421,0,0
26,1920,0,0.1,10.508,10.324,0.184,0.007,0.000,0.100,0.022,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.001417,0.067778,0.020913,0,0
27,960,0,0.0,5.004,4.823,0.181,0.003,0.000,0.108,0.012,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.001292,0.067778,0.019058,0,0
28,960,0,0.0,9.681,9.498,0.183,0.003,0.000,0.106,0.012,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.001249,0.067778,0.018429,0,0
