# platform=macos kernel=darwin host=gyeongjinui-MacBookAir-3.local device=unknown git_commit=40af12c sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,noise_floor,ref_peak,noise_ratio,sync_lost,beat_missed
1,960,0,0.0,0.048,0.016,0.032,0.005,0.000,0.019,0.000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.000007,0.000362,0.019327,0,0
2,1920,0,0.1,19.040,18.985,0.055,0.007,0.000,0.037,0.000,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.000516,0.065222,0.007908,0,0
3,960,0,0.0,7.110,7.080,0.030,0.003,0.000,0.018,0.000,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003866,0.064798,0.059667,0,0
4,960,0,0.0,4.419,4.389,0.030,0.004,0.000,0.018,0.000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003251,0.064372,0.050507,0,0
5,960,0,0.0,1.945,1.886,0.059,0.004,0.000,0.020,0.025,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.002086,0.063947,0.032628,0,0
6,960,0,0.0,0.126,0.040,0.086,0.004,0.000,0.027,0.034,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001944,0.063524,0.030609,0,0
7,960,0,0.0,0.085,0.021,0.064,0.003,0.000,0.027,0.018,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.001536,0.063103,0.024348,0,0
8,960,0,0.0,0.090,0.024,0.066,0.003,0.000,0.028,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001504,0.062685,0.023999,0,0
9,960,0,0.0,0.103,0.019,0.084,0.004,0.000,0.032,0.027,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001044,0.062270,0.016766,0,0
10,960,0,0.0,0.094,0.020,0.074,0.003,0.000,0.037,0.012,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.000830,0.061857,0.013425,0,0
11,960,0,0.0,0.111,0.032,0.079,0.004,0.000,0.038,0.012,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.000739,0.061447,0.012028,0,0
12,960,0,0.0,0.124,0.034,0.090,0.004,0.001,0.043,0.011,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.000686,0.061042,0.011241,0,0
13,960,0,0.0,0.141,0.025,0.116,0.004,0.000,0.051,0.036,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.000682,0.060660,0.011236,0,0
14,960,0,0.0,0.121,0.022,0.099,0.004,0.000,0.049,0.012,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.001173,0.072812,0.016113,0,0
15,960,0,0.0,0.113,0.017,0.096,0.003,0.000,0.049,0.012,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.001509,0.072344,0.020862,0,0
16,960,0,0.0,0.165,0.033,0.132,0.003,0.001,0.061,0.013,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.001460,0.071868,0.020313,0,0
17,960,0,0.0,0.134,0.030,0.104,0.004,0.000,0.052,0.013,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.001244,0.071393,0.017427,0,0
18,960,0,0.0,0.139,0.025,0.114,0.004,0.000,0.063,0.011,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.001173,0.070920,0.016543,0,0
19,960,0,0.0,0.160,0.019,0.141,0.004,0.000,0.079,0.012,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.000915,0.070450,0.012985,0,0
20,960,0,0.0,0.142,0.015,0.127,0.003,0.000,0.071,0.012,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.000830,0.069983,0.011866,0,0
21,960,0,0.0,0.165,0.023,0.142,0.003,0.000,0.083,0.012,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.000787,0.069519,0.011317,0,0
22,960,0,0.0,2.335,2.171,0.164,0.008,0.000,0.085,0.025,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.000739,0.069058,0.010703,0,0
23,960,0,0.0,3.183,3.028,0.155,0.004,0.000,0.092,0.012,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.000682,0.068601,0.009935,0,0
24,960,0,0.0,3.230,3.043,0.187,0.004,0.000,0.118,0.012,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.000676,0.068146,0.009913,0,0
25,960,0,0.0,4.421,4.251,0.170,0.004,0.000,0.105,0.011,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.000578,0.067695,0.008532,0,0
26,960,0,0.0,4.818,4.696,0.122,0.003,0.000,0.050,0.012,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.000578,0.067281,0.008585,0,0
27,960,0,0.0,4.127,4.044,0.083,0.004,0.000,0.014,0.012,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.000578,0.067471,0.008560,0,0
28,960,0,0.0,5.276,5.115,0.161,0.004,0.000,0.091,0.011,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.000681,0.067767,0.010047,0,0
29,960,0,0.0,7.125,6.919,0.206,0.003,0.000,0.123,0.013,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.000578,0.067767,0.008523,0,0
30,960,0,0.0,9.042,8.852,0.190,0.003,0.001,0.112,0.012,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.000512,0.067767,0.007558,0,0
31,1920,0,0.1,10.534,10.218,0.316,0.007,0.000,0.222,0.023,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.000381,0.067767,0.005622,0,0
32,960,0,0.0,5.710,5.530,0.180,0.004,0.000,0.100,0.012,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.000356,0.067767,0.005251,0,0
33,1920,0,0.1,11.250,10.946,0.304,0.007,0.000,0.203,0.023,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.000356,0.067767,0.005251,0,0
34,960,0,0.0,6.311,6.129,0.182,0.003,0.000,0.096,0.012,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0.000356,0.067767,0.005251,0,0
35,1920,0,0.1,11.061,10.779,0.282,0.007,0.000,0.174,0.022,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.000435,0.067767,0.006420,0,0
36,960,0,0.0,7.428,7.270,0.158,0.004,0.000,0.014,0.063,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.000435,0.067767,0.006420,0,0
37,1920,0,0.1,13.146,12.897,0.249,0.007,0.000,0.130,0.027,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.000514,0.067767,0.007592,0,0
38,960,0,0.0,8.180,7.980,0.200,0.004,0.000,0.100,0.015,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.000464,0.067767,0.006851,0,0
39,1920,0,0.1,14.060,13.743,0.317,0.007,0.000,0.198,0.026,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.000368,0.067767,0.005425,0,0
40,1920,0,0.1,13.926,13.587,0.339,0.007,0.000,0.213,0.026,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.000288,0.067767,0.004244,0,0
41,1920,0,0.1,13.194,12.850,0.344,0.007,0.000,0.212,0.026,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.000270,0.067767,0.003991,0,0
